
ShowLevelAboveDesc			"Show Level Above"
MachineIce				"Ice Machine"
MachineIceDesc				"Ice Machine: There is a machine in the dungeon creating patches of ice."

QuestAnnounceUniqueMachineIce		"Discovered an Ice machine."
QuestAnnounceUniqueMachineIceFromBoss	"##3## has built an Ice machine."
QuestAnnounceUniqueMachineIceFromUniqueMonsterSpotted	"##3## has built an Ice machine."
QuestAnnounceUniqueMachineIceFromKillMonsterGroup	"##3##'s group has built an Ice machine."
QuestAnnounceUniqueMachineIceFromQuestFindPlansMachineEarthquake	"We failed to discover the plans, now an Ice machine has been built."
QuestAnnounceUniqueMachineIceFromQuestUniqueMachineDarkness	"Due to the success of the darkness machine, now an Ice machine has been built."
QuestAnnounceUniqueMachineIceFromQuestUniqueMachineWeather	"Due to the success of the weather machine, now an Ice machine has been built."
QuestAnnounceUniqueMachineIceFromQuestUniqueMachineAntiMagic	"Due to the success of the Anti-Magic machine, now an Ice machine has been built."
QuestAnnounceUniqueMachineIceFromQuestUniqueMachineTemporalFlux	"Due to the success of the Temporal Flux machine, now an Ice machine has been built."
QuestAnnounceUniqueMachineIceFromQuestUniqueMachineFog		"Due to the success of the Fog machine, now an Ice machine has been built."
QuestAnnounceUniqueMachineIceFromQuestDinUniqueAltarErillin	"In worship of the altar to Erillin, an Ice machine has been built."

QuestTitleUniqueMachineIce	"Destroy the Ice machine"
QuestTextUniqueMachineIce	"We have discovered a machine that is causing patches of ice. Go destroy the machine."

// UniqueBuildingMachineAntiMagic

QuestAnnounceUniqueBuildingMachineAntiMagic	"##1## is building an Anti-Magic machine."
QuestAnnounceUniqueBuildingMachineAntiMagicFromQuestUniqueMachineDarkness	"Due to the success of the darkness machine, ##1## is building an Anti-Magic machine."
QuestAnnounceUniqueBuildingMachineAntiMagicFromQuestUniqueMachineWeather	"Due to the success of the weather machine, ##1## is building an Anti-Magic machine."

QuestTextUniqueBuildingMachineAntiMagic		"##1## is building an Anti-Magic machine. You must kill him before he can complete it!"

// UniqueBuildingMachineTemporalFlux

QuestAnnounceUniqueBuildingMachineTemporalFlux	"##1## is building a Temporal Flux machine."
QuestAnnounceUniqueBuildingMachineTemporalFluxFromQuestUniqueMachineDarkness	"Due to the success of the darkness machine, ##1## is building a Temporal Flux machine."
QuestAnnounceUniqueBuildingMachineTemporalFluxFromQuestUniqueMachineWeather	"Due to the success of the weather machine, ##1## is building a Temporal Flux machine."

QuestTextUniqueBuildingMachineTemporalFlux		"##1## is building a Temporal Flux machine. You must kill him before he can complete it!"

// UniqueBuildingMachineFog

QuestAnnounceUniqueBuildingMachineFog	"##1## is building a Fog machine."
QuestAnnounceUniqueBuildingMachineFogFromQuestUniqueMachineDarkness	"Due to the success of the darkness machine, ##1## is building a Fog machine."
QuestAnnounceUniqueBuildingMachineFogFromQuestUniqueMachineWeather	"Due to the success of the weather machine, ##1## is building a Fog machine."

QuestTextUniqueBuildingMachineFog		"##1## is building a Fog machine. You must kill him before he can complete it!"

// UniqueBuildingMachineIce

QuestAnnounceUniqueBuildingMachineIce	"##1## is building an Ice machine."
QuestAnnounceUniqueBuildingMachineIceFromQuestUniqueMachineDarkness	"Due to the success of the darkness machine, ##1## is building an Ice machine."
QuestAnnounceUniqueBuildingMachineIceFromQuestUniqueMachineWeather	"Due to the success of the weather machine, ##1## is building an Ice machine."

QuestTextUniqueBuildingMachineIce		"##1## is building an Ice machine. You must kill him before he can complete it!"

// Find Plans

QuestAnnouncePlansBrokenMachineAntiMagic	"We have disrupted plans to build an Anti-Magic machine."
QuestAnnouncePlansBrokenMachineTemporalFlux	"We have disrupted plans to build a Temporal Flux machine."
QuestAnnouncePlansBrokenMachineFog		"We have disrupted plans to build a Fog machine."
QuestAnnouncePlansBrokenMachineIce		"We have disrupted plans to build an Ice machine."

// Old machine quest announcements

QuestAnnounceUniqueMachineEarthquakeFromQuestUniqueMachineAntiMagic	"Due to the success of the Anti-Magic machine, now an earthquake machine has been built."
QuestAnnounceUniqueMachineEarthquakeFromQuestUniqueMachineTemporalFluxc	"Due to the success of the Temporal Flux machine, now an earthquake machine has been built."
QuestAnnounceUniqueMachineEarthquakeFromQuestUniqueMachineFog		"Due to the success of the Fog machine, now an earthquake machine has been built."
QuestAnnounceUniqueMachineEarthquakeFromQuestUniqueMachineIce		"Due to the success of the Ice machine, now an earthquake machine has been built."

QuestAnnounceUniqueMachineDarknessFromQuestUniqueMachineAntiMagic	"Due to the success of the Anti-Magic machine, now a Darkness machine has been built."
QuestAnnounceUniqueMachineDarknessFromQuestUniqueMachineTemporalFluxc	"Due to the success of the Temporal Flux machine, now a Darkness machine has been built."
QuestAnnounceUniqueMachineDarknessFromQuestUniqueMachineFog		"Due to the success of the Fog machine, now a Darkness machine has been built."
QuestAnnounceUniqueMachineDarknessFromQuestUniqueMachineIce		"Due to the success of the Ice machine, now a Darkness machine has been built."

QuestAnnounceUniqueMachineWeatherFromQuestUniqueMachineAntiMagic	"Due to the success of the Anti-Magic machine, now a Weather machine has been built."
QuestAnnounceUniqueMachineWeatherFromQuestUniqueMachineTemporalFluxc	"Due to the success of the Temporal Flux machine, now a Weather machine has been built."
QuestAnnounceUniqueMachineWeatherFromQuestUniqueMachineFog		"Due to the success of the Fog machine, now a Weather machine has been built."
QuestAnnounceUniqueMachineWeatherFromQuestUniqueMachineIce		"Due to the success of the Ice machine, now a Weather machine has been built."

QuestAnnounceWanderingVendorStayedInTown	"##1## was going to leave town, but is really happy here."

ToolTipDelay				"Tool Tip Delay"
ToolTipDelayDesc			"This controls how long it takes for tool tips to display."

Wet					"Wet"

MinorMagicResistance			"Minor Magic Resistance"
MagicResistance				"Magic Resistance"
MajorMagicResistance			"Major Magic Resistance"

Vortar					"Vortar"
VortarSoldier				"Vortar Soldier"
VortarRaider				"Vortar Raider"
VortarGuardian				"Vortar Guardian"

VortarSoldier1				"Sapphire Vortar Soldier"
VortarSoldier2				"Amber Vortar Soldier"
VortarSoldier3				"Onyx Vortar Soldier"
VortarSoldier4				"Emerald Vortar Soldier"
VortarSoldier5				"Amethyst Vortar Soldier"

VortarSoldier1Unique			"Flameclaw"
VortarSoldier1bUnique			"Firespike"
VortarSoldier2Unique			"Toughblood"
VortarSoldier2bUnique			"Toxicspike"
VortarSoldier3Unique			"Vilegore"
VortarSoldier3bUnique			"Fleshbane"
VortarSoldier4Unique			"Nightclaw"
VortarSoldier4bUnique			"Direspeed"
VortarSoldier5Unique			"Emberslash"
VortarSoldier5bUnique			"Pierce"

VortarSoldier1Legend			"Felheart"
VortarSoldier2Legend			"Dreadburn"
VortarSoldier3Legend			"Doomhorns"
VortarSoldier4Legend			"Bloodthorn"
VortarSoldier5Legend			"Grimshock"

VortarRaider1				"Sapphire Vortar Raider"
VortarRaider2				"Amber Vortar Raider"
VortarRaider3				"Onyx Vortar Raider"
VortarRaider4				"Emerald Vortar Raider"
VortarRaider5				"Amethyst Vortar Raider"

VortarRaider1Unique			"Battlesting"
VortarRaider1bUnique			"Burnspike"
VortarRaider2Unique			"Bloodstrike"
VortarRaider2bUnique			"Gutstrike"
VortarRaider3Unique			"Pyrowicked"
VortarRaider3bUnique			"Rockdemon"
VortarRaider4Unique			"Putridfire"
VortarRaider4bUnique			"Nightgrief"
VortarRaider5Unique			"Wisetail"
VortarRaider5bUnique			"Menacetouch"

VortarRaider1Legend			"Brutespeed"
VortarRaider2Legend			"Cruelbrute"
VortarRaider3Legend			"Bloodfury"
VortarRaider4Legend			"Vipereye"
VortarRaider5Legend			"Kai"

VortarGuardian1				"Sapphire Vortar Guardian"
VortarGuardian2				"Amber Vortar Guardian"
VortarGuardian3				"Onyx Vortar Guardian"
VortarGuardian4				"Emerald Vortar Guardian"
VortarGuardian5				"Amethyst Vortar Guardian"

VortarGuardian1Unique			"Emberwrecker"
VortarGuardian1bUnique			"Wickedrock"
VortarGuardian2Unique			"Wingspawn"
VortarGuardian2bUnique			"Emberrage"
VortarGuardian3Unique			"Thundercrush"
VortarGuardian3bUnique			"Viletouch"
VortarGuardian4Unique			"Toxiccarnage"
VortarGuardian4bUnique			"Sharpstone"
VortarGuardian5Unique			"Dusklord"
VortarGuardian5bUnique			"Icybrute"

VortarGuardian1Legend			"Darkravager"
VortarGuardian2Legend			"Soulslayer"
VortarGuardian3Legend			"Savageterror"
VortarGuardian4Legend			"Arcanecrusher"
VortarGuardian5Legend			"Razer"

FlamingClaws				"Flaming Claws"

NpcMarriage				"##1## and ##2## are now married."
NpcDivorce				"##1## and ##2## got a divorce."

RylorTaunt				"Rylor Taunt"

QuestAnnouncePayingTraitors		"##1## is paying lots of gold to traitors."
QuestTextPayingTraitors			"We have discovered that ##1## is paying a very high price to anyone that betrays the town. We can't let this happen. Go kill him before he can corrupt our own townspeople!"

FireWeaponSmallPowerupName		"Flaming Weapon"
PoisonWeaponSmallPowerupName		"Poisoned Weapon"
AcidWeaponSmallPowerupName		"Acid Dripping Weapon"

EmptyVial				"Empty Vial"
EmptyVialDesc				"Use and then click on something in the\nworld to put in it (like oil)"

HardcoreHeroes				"Héros Hardcore"
HardcoreHero				"                            ^f003Hardcore Hero # ##1##^f001"
HardcoreHeroSeparator			"                           ---------------------------"
HardcoreHeroNameTitle			"##1## the ##2## level ##3##"
HardcoreHeroTowns			"Saved ^c002##1##^c145, lost ^c001##2##^c145, and abandoned ^c005##3##^c145 towns"
HardcoreHeroBestKill			"Killer of ##1##"
HardcoreHeroDead			"^c001Mort^c145"
HardcoreHeroAlive			"^c002Encore en vie^c145"
HardcoreHeroKilledBy			"^c001Tué par^c145 ##1##"
HardcoreHeroWeapon			"Manieur de ##1##"
HardcoreHeroArmor			"Porteur de ##1##"
HardcoreHeroNone			"Aucun personnage hardcore trouvé"
HardcoreHeroScore			"Score"
HardcoreHeroScoreLevel			"Niveau"

QuestTextInvasion3Waves			"The ##1## are invading the town in 3 waves. Please keep us safe and kill them all."
QuestTextInvasion6Waves			"The ##1## are invading the town in 6 waves. Please keep us safe and kill them all."
QuestTextInvasion9Waves			"The ##1## are invading the town in 9 waves. Please keep us safe and kill them all."
QuestTextInvasion100Waves		"The ##1## are invading the town in 100 waves. Please keep us safe and kill them all."

QuestInvasionWave			"Invasion wave ##1## of ##2## now attacking!"
QuestInvasionWaveTime			"##1## minute##2## until next invasion wave!"

WorldStart100WaveInvasion		"Mode invasion"
WorldStart100WaveInvasionDesc		"World starts with a 100 Wave Invasion quest"

QuestAnnounceBarbarianRaid		"##1##s are raiding the town!"

Barbarian1				"Legion of Fear Barbarian"
Barbarian2				"Death & Destruction Barbarian"
Barbarian3				"Raid & Pillage Barbarian"
Barbarian4				"Black Raiders Barbarian"
Barbarian5				"Brutal Slayers Barbarian"
Barbarian6				"Shadow League Barbarian"

DinBlessing				"Din's Blessing"

Achievements				"Succès"
AchievementUnlocked			"^c002Atteint !^c145"
AchievementLocked			"^c001Not achieved yet.^c145"

UnlockAwardKills1			"^c061Tueur^c145"
UnlockAwardKills2			"^c061Egorgeur^c145"
UnlockAwardKills3			"^c061Executeur^c145"
UnlockAwardKillsDesc			"Unlocks after killing ##1## monsters"

UnlockAwardSecrets1			"^c061Eagle Eye^c145"
UnlockAwardSecrets2			"^c061Treasure Hunter^c145"
UnlockAwardSecretsDesc			"Unlocks after finding ##1## secrets"

UnlockAwardDeaths1			"^c061Only Human^c145"
UnlockAwardDeathsDesc			"Unlocks after dying ##1## times"

UnlockAwardGoldFound1			"^c061Lucky^c145"
UnlockAwardGoldFound2			"^c061Leprechaun^c145"
UnlockAwardGoldFoundDesc		"Unlocks after finding ##1##"

UnlockAwardQuestsSolved1		"^c061Fetcher^c145"
UnlockAwardQuestsSolved2		"^c061Adventurer^c145"
UnlockAwardQuestsSolvedDesc		"Unlocks after solving ##1## quests"

UnlockAwardGamesWon1			"^c061Hero^c145"
UnlockAwardGamesWon2			"^c061Guardian^c145"
UnlockAwardGamesWon3			"^c061Savior^c145"
UnlockAwardGamesWonDesc			"Unlocks after saving ##1## towns"

UnlockAwardMoney1			"^c061Rich^c145"
UnlockAwardMoneyDesc			"Unlocks after having ##1##"

UnlockAwardLevel1			"^c061Ultimate^c145"
UnlockAwardLevelDesc			"Unlocks after having a character at level ##1##"

UnlockAwardBaseStrength1		"^c061Mighty^c145"
UnlockAwardBaseStrengthDesc		"Unlocks after having a character with at least ##1## base strength"

UnlockAwardBaseDexterity1		"^c061Agile^c145"
UnlockAwardBaseDexterityDesc		"Unlocks after having a character with at least ##1## base dexterity"

UnlockAwardBaseVitality1		"^c061Healthy as an Ox^c145"
UnlockAwardBaseVitalityDesc		"Unlocks after having a character with at least ##1## base vitality"

UnlockAwardBaseIntelligence1		"^c061Brilliant^c145"
UnlockAwardBaseIntelligenceDesc		"Unlocks after having a character with at least ##1## base intelligence"

UnlockAwardBaseSpirit1			"^c061Divinity^c145"
UnlockAwardBaseSpiritDesc		"Unlocks after having a character with at least ##1## base spirit"

UnlockAwardAttack1			"^c061True Aim^c145"
UnlockAwardAttackDesc			"Unlocks after having a character with at least ##1## attack"

UnlockAwardDefense1			"^c061Sentinel^c145"
UnlockAwardDefenseDesc			"Unlocks after having a character with at least ##1## defense"

UnlockAwardArmor1			"^c061Fortified^c145"
UnlockAwardArmorDesc			"Unlocks after having a character with at least ##1## armor"

UnlockAwardBestTrapDisarmed1		"^c061Nimble Fingers^c145"
UnlockAwardBestTrapDisarmedDesc		"Unlocks after having a character disarm a level ##1## trap"

UnlockAwardMaxHealthHealed1		"^c061Healer^c145"
UnlockAwardMaxHealthHealedDesc		"Unlocks after having a character heal at least ##1## health"

UnlockAwardEquipmentWorth1		"^c061Envy^c145"
UnlockAwardEquipmentWorth2		"^c061Golden Armor^c145"
UnlockAwardEquipmentWorthDesc		"Unlocks after having a character with equipement worth at least ##1##"

UnlockAwardKillsPerDeath1		"^c061Efficient Killer^c145"
UnlockAwardKillsPerDeath2		"^c061Rampage^c145"
UnlockAwardKillsPerDeathDesc		"Unlocks after having a character with at least ##1## kills per death"

UnlockAwardMagicChance1			"^c061Rabbit's Paw^c145"
UnlockAwardMagicChanceDesc		"Unlocks after having a character with at least +##1##% magic chance"

UnlockAwardMaxDamageDealt1		"^c061Smasher^c145"
UnlockAwardMaxDamageDealt2		"^c061Crusher^c145"
UnlockAwardMaxDamageDealtDesc		"Unlocks after having a character do at least ##1## damage"

UnlockAwardWarrior			"^c061Path of Might^c145"
UnlockAwardWarriorDesc			"Unlocks after being granted your freedom with the Warrior class"

UnlockAwardRogue			"^c061Path of Stealth^c145"
UnlockAwardRogueDesc			"Unlocks after being granted your freedom with the Rogue class"

UnlockAwardPriest			"^c061Path of Faith^c145"
UnlockAwardPriestDesc			"Unlocks after being granted your freedom with the Priest class"

UnlockAwardWizard			"^c061Path of Magic^c145"
UnlockAwardWizardDesc			"Unlocks after being granted your freedom with the Wizard class"

UnlockAwardConjurer			"^c061Path of Darkness^c145"
UnlockAwardConjurerDesc			"Unlocks after being granted your freedom with the Conjurer class"

UnlockAwardRanger			"^c061Path of the Forest^c145"
UnlockAwardRangerDesc			"Unlocks after being granted your freedom with the Ranger class"

UnlockAwardHybrid			"^c061Path of the Unknown^c145"
UnlockAwardHybridDesc			"Unlocks after being granted your freedom with the Hybrid class"

UnlockAwardDemonHunter			"^c061Path of the Demon^c145"
UnlockAwardDemonHunterDesc		"Unlocks after being granted your freedom with the Demon Hunter class"

UnlockAwardMaxDamageDealtAtOnce1	"^c061Death Dealer^c145"
UnlockAwardMaxDamageDealtAtOnce2	"^c061Destroyer^c145"
UnlockAwardMaxDamageDealtAtOnceDesc	"Unlocks after having a character do at least ##1## damage at once"

UnlockAwardFreedom			"^c061Freedom!^c145"
UnlockAwardFreedomDesc			"Unlocks after any character is granted their freedom"

UnlockAwardChampion			"^c061Din's Champion!^c145"
UnlockAwardChampionDesc			"Unlocks after any character becomes a Din's Champion"

UnlockAwardElite			"^c061Din's Elite!^c145"
UnlockAwardEliteDesc			"Unlocks after any character becomes a Din's Elite"

UnlockAwardLegend			"^c061Din's Legend!^c145"
UnlockAwardLegendDesc			"Unlocks after any character becomes a Din's Legend"

UnlockAwardHardcoreFreedom		"^c061Hardcore Freedom!^c145"
UnlockAwardHardcoreFreedomDesc		"Unlocks after any Hardcore character is granted their freedom"

UnlockAwardHardcoreChampion		"^c061Hardcore Din's Champion!^c145"
UnlockAwardHardcoreChampionDesc		"Unlocks after any Hardcore character becomes a Din's Champion"

UnlockAwardHardcoreElite		"^c061Hardcore Din's Elite!^c145"
UnlockAwardHardcoreEliteDesc		"Unlocks after any Hardcore character becomes a Din's Elite"

UnlockAwardHardcoreLegend		"^c061Hardcore Din's Legend!^c145"
UnlockAwardHardcoreLegendDesc		"Unlocks after any Hardcore character becomes a Din's Legend"

UnlockAwardInvasion			"^c061Invasion Survivor^c145"
UnlockAwardInvasionDesc			"Unlocks after any character survives a 100 Wave Invasion"

DemonGate				"Demon Gate"
DemonRune				"Demon Rune"

TrapArrowSlit				"Arrow Slit Trap"

AreaDungeonDW1				"Demonic Tomb"
AreaDungeonDW2				"Corrupted Sanctuary"
AreaDungeonDW3				"Forgotten Crypt"
AreaDungeonDW4				"Haunted Tomb"
AreaDungeonDW5				"Abandoned Crypt"
AreaDungeonDW6				"Halls of Grime"

AreaCaveDW1				"Death's Embrace"
AreaCaveDW2				"Dead Wind Catacombs"
AreaCaveDW3				"Pit of Sorrow"
AreaCaveDW4				"Grim Labyrinth"
AreaCaveDW5				"Forsaken Deeps"
AreaCaveDW6				"Crystal Cave"
AreaCaveDW7				"Infernal Abyss"
AreaCaveDW8				"Slayer's Requiem"
AreaCaveDW9				"Domain of the Dead"

RylorRipper				"Rylor Ripper"
WingedRylorWrecker			"Winged Rylor Wrecker"
KrallWarriorMasher			"Krall Warrior Masher"
VortarSoldierSlayer			"Vortar Soldier Slayer"
VortarGuardianGorer			"Vortar Guardian Gorer"
KrallWorkerKiller			"Krall Worker Killer"
VortarRaiderVexer			"Vortar Raider Vexer"
RylorBullBarb				"Rylor Bull Barb"

EgoWeaponLevelUp			"Ego weapon leveled up, +##1## base max damage"

Rylor4LegendWeapon			"$$Rylor4Legend$$'s Axe"
VortarSoldier1LegendWeapon		"$$VortarSoldier1Legend$$'s Axe"
VortarSoldier2LegendWeapon		"$$VortarSoldier2Legend$$'s Axe"
VortarSoldier3LegendWeapon		"$$VortarSoldier3Legend$$'s Axe"
VortarSoldier4LegendWeapon		"$$VortarSoldier4Legend$$'s Axe"
RylorBull3LegendWeapon			"$$RylorBull3Legend$$'s Axe"
RylorBull5LegendWeapon			"$$RylorBull5Legend$$'s Axe"
VortarGuardian5LegendWeapon		"$$VortarGuardian5Legend$$'s Axe"
Rylor5LegendWeapon			"$$Rylor5Legend$$'s Dagger"
RylorWinged2LegendWeapon		"$$RylorWinged2Legend$$'s Dagger"
VortarGuardian3LegendWeapon		"$$VortarGuardian3Legend$$'s Dagger"
Rylor1LegendWeapon			"$$Rylor1Legend$$'s Mace"
Rylor2LegendWeapon			"$$Rylor2Legend$$'s Mace"
RylorWinged5LegendWeapon		"$$RylorWinged5Legend$$'s Mace"
RylorBull1LegendWeapon			"$$RylorBull1Legend$$'s Mace"
RylorBull2LegendWeapon			"$$RylorBull2Legend$$'s Mace"
RylorBull4LegendWeapon			"$$RylorBull4Legend$$'s Mace"
Rylor3LegendWeapon			"$$Rylor3Legend$$'s Staff"
VortarGuardian1LegendWeapon		"$$VortarGuardian1Legend$$'s Staff"
RylorWinged1LegendWeapon		"$$RylorWinged1Legend$$'s Bow"
RylorWinged3LegendWeapon		"$$RylorWinged3Legend$$'s Bow"
VortarGuardian2LegendWeapon		"$$VortarGuardian2Legend$$'s Bow"
VortarGuardian4LegendWeapon		"$$VortarGuardian4Legend$$'s Bow"
RylorWinged4LegendWeapon		"$$RylorWinged4Legend$$'s Sword"
VortarSoldier5LegendWeapon		"$$VortarSoldier5Legend$$'s Sword"
VortarRaider1LegendWeapon		"$$VortarRaider1Legend$$'s Sword"
VortarRaider2LegendWeapon		"$$VortarRaider2Legend$$'s Sword"
VortarRaider3LegendWeapon		"$$VortarRaider3Legend$$'s Sword"
VortarRaider4LegendWeapon		"$$VortarRaider4Legend$$'s Sword"
VortarRaider5LegendWeapon		"$$VortarRaider5Legend$$'s Sword"

QuestAnnounceHaltedMining		"Mining operations have halted"
QuestTitleHaltedMining			"Restore mining operations"
QuestTextHaltedMining			"The ##1## have become so dangerous that the town has had to halt mining operations. Please kill some of them so we can resume working. In the meantime, the townspeople will make less money. "

QuestAnnounceInfestation		"The town is infested"
QuestTitleInfestation			"Stamp out the infestation"
QuestTextInfestation			"The town is infested with little critters which is causing higher food prices. Please go deal with this. All you need to do is step on ##1## of the little things and it should clear up the problem."
QuestProgressInfestation		"##1## left to squash"

QuestTitleFlowers			"Put flowers on grave"
QuestTextFlowers1			"I have a loved one that was buried where he died down below. I can't visit, but I would like you to put these flowers on his grave."
QuestTextFlowers2			"I have a loved one that was buried where she died down below. I can't visit, but I would like you to put these flowers on her grave."
GravestoneLovedOne			"Loved One's Gravestone"

QuestTitleRecoverBody			"Recover body"
QuestTextRecoverBody1			"I have a friend that was killed down below. I want to give him a proper burial, but can't get to the location. Can you retrieve the body for me?"
QuestTextRecoverBody2			"I have a friend that was killed down below. I want to give her a proper burial, but can't get to the location. Can you retrieve the body for me?"
FriendsBody				"Friend's Body"

GateIsBlocked				"Gate is Blocked (Kill whatever is responsible)"
GateIsBlockedUprising			"Gate is Blocked by ##1## Uprising"
GateIsBlockedUnique			"Gate is Blocked by ##1##"

QuestAnnounceUniqueBlockGate		"##1## is blocking the gate in ##2##."
QuestAnnounceUniqueBlockGateFromBoss	"##3## has sent ##1## to block the gate in ##2##."

QuestTitleUniqueBlockGate		"Unblock the gate system"
QuestTextUniqueBlockGate		"##1## is blocking the gate in ##2##. With ##1## in the way no one can gate to ##2## or below and once below that level no one can gate back to town."

FightStarted				"##1## started a fight with ##2##."
FightStopped				"The fight between ##1## and ##2## has stopped."

QuestAnnounceUprisingBlockGate		"An uprising of ##1## are blocking the gate in ##2##."
QuestAnnounceUprisingBlockGateFromBoss		"##3## has started an uprising of ##1## to block the gate in ##2##."
QuestAnnounceUprisingBlockGateFromMonsterHunter	"A ##3## hunter has started an uprising of ##1## to block the gate in ##2##."
QuestAnnounceUprisingBlockGateFromUniqueMonsterSpotted	"##3## has started an uprising of ##1## to block the gate in ##2##."
QuestAnnounceUprisingBlockGateFromKillMonsterGroup	"##3##'s group has started an uprising of ##1## to block the gate in ##2##."
QuestAnnounceUprisingBlockGateFromWar		"A war has led to an uprising of ##1## blocking the gate in ##2##."

QuestTitleUprisingBlockGate		"Uprising of ##1## blocking a gate"
QuestTextUprisingBlockGate		"The gate in ##2## is being blocked because of an uprising of ##1##. With ##1## in the way no one can gate to ##2## or below and once below that level no one can gate back to town."

QuestAnnounceOverlord			"##1## is now Overlord of the dungeon."
QuestTitleOverlord			"Kill ##1## the Overlord"
QuestTextOverlord			"##1## has taken over the entire dungeon. Overlords are extremely dangerous. They usually won't attack the town directly but they can instigate many problems for us. They can even setup bosses. Go kill ##1## as soon as you can get down to him."

QuestAnnounceUprisingFromQuestOverlord		"The Overlord ##3## has started an uprising of ##1## in ##2##."
QuestAnnounceMonsterHunterFromQuestOverlord	"The Overlord ##3## has sent a ##1## hunter to ##2##."
QuestAnnounceWarFromQuestOverlord		"The Overlord ##3## has led the ##1##s to declare war on the ##2##s."
QuestAnnounceUniqueBlockGateFromQuestOverlord	"The Overlord ##2## has sent ##1## to block a gate!"
QuestAnnounceUprisingBlockGateFromQuestOverlord	"The Overlord ##3## has started an uprising of ##1## to block the gate in ##2##."
QuestAnnounceBossFromQuestOverlord		"The Overlord ##3## has setup ##1## as the new boss of ##2##."

QuestAnnounceUniqueFallenHero		"##1## is guarding ##4##'s treasure."
QuestTitleUniqueFallenHero		"Retrieve fallen hero's treasure"
QuestTextUniqueFallenHero		"##1## is guarding a fallen hero's treasure. If you can kill ##1##, you will get some of the treasure from the fallen hero."

FallenHeroChestName			"##1##'s Treasure"
ChestQuestLocked			"Chest is protected"

Tornado					"Tornado"

QuestAnnounceUniqueRaider		"##1## is guarding ##4##'s treasure."
QuestTitleUniqueRaider			"Retrieve fallen hero's treasure"
QuestTextUniqueRaider			"##1## is guarding a fallen hero's treasure. If you can kill ##1##, you will get some of the treasure from the fallen hero."

QuestAnnounceUniqueMachinist		"##1## the Machinist has been spotted in ##2##."
QuestTitleUniqueMachinist		"Kill ##1## the Machinist"
QuestTextUniqueMachinist		"##1## the Machinist has been spotted. ##1## is known for building evil machines that are extremely dangerous to his enemies. Kill him before he can build anything!"

QuestAnnounceUniqueWarMonger		"##1## the Warmonger has been spotted in ##2##."
QuestTitleUniqueWarMonger		"Kill ##1## the Warmonger"
QuestTextUniqueWarMonger		"##1## the Warmonger has been spotted. ##1## is known for starting as many wars as possible to cause as much chaos as possible. Kill him before he starts trouble!"

QuestAnnounceUniqueMonsterSpottedFromQuestRescue	"##1## is pissed because we rescued one of his victims!"

ScarIntro				"New in town? I knew it. I'm the only beastmaster in these parts. You want a pet, I'm your guy."

LifeStealPerHitX			"Life Steal: +##1## health per hit"
LifeStealPerKillX			"Soul Steal: +##1## health per kill"
ManaStealPerHitX			"Mana Steal: +##1## mana per hit"
ManaStealPerKillX			"Mana Steal: +##1## mana per kill"
ManaStealPerBlockX			"Energy Absorb: +##1## mana per block"

LifeStealPerHitModifierName1		"of the Parasite"
LifeStealPerHitModifierName2		"of the Leech"
LifeStealPerHitModifierName3		"of the Candiru"
LifeStealPerHitModifierName4		"of the Lamprey"
LifeStealPerHitModifierName5		"of the Bat"
LifeStealPerHitModifierName6		"of the Chupacabra"
LifeStealPerHitModifierName7		"of the Vampire"

LifeStealPerKillModifierName1		"of Source"
LifeStealPerKillModifierName2		"of Essence"
LifeStealPerKillModifierName3		"of Lifeblood"
LifeStealPerKillModifierName4		"of Core"
LifeStealPerKillModifierName5		"of Spirit"
LifeStealPerKillModifierName6		"of Soul"

ManaStealPerHitModifierName1		"Seeping"
ManaStealPerHitModifierName2		"Depleting"
ManaStealPerHitModifierName3		"Extracting"
ManaStealPerHitModifierName4		"Saping"
ManaStealPerHitModifierName5		"Oozing"
ManaStealPerHitModifierName6		"Draining"

ManaStealPerKillModifierName1		"of Grasping"
ManaStealPerKillModifierName2		"of Embrace"
ManaStealPerKillModifierName3		"of Harvest"
ManaStealPerKillModifierName4		"of Reaping"

ManaStealPerBlockModifierName1		"Absorbing"
ManaStealPerBlockModifierName2		"Imbibing"
ManaStealPerBlockModifierName3		"Consuming"
ManaStealPerBlockModifierName4		"Digesting"
ManaStealPerBlockModifierName5		"Gorging"
ManaStealPerBlockModifierName6		"Devouring"

QuestAnnounceUniqueMassacre		"There has been a massacre in ##2##!"
QuestTitleUniqueMassacre		"Get revenge for the massacre"
QuestTextUniqueMassacre			"##1## has slaughtered many humans already. Kill him before he can do worse!"

QuestAnnounceRescueDisappeared		"##1## has disappeared."
QuestTitleRescueDisappeared		"Find ##1##"
QuestTextRescueDisappeared		"We don't know what has happened to ##1##. Please deal with it."

QuestAnnounceRenegadeDisappeared	"##1## has disappeared."
QuestTitleRenegadeDisappeared		"Find ##1##"
QuestTextRenegadeDisappeared		"We don't know what has happened to ##1##. Please deal with it."

AxeNameExp1-1				"Mithril Viking Axe"
AxeNameExp1-2				"Adamantium Viking Axe"

AxeTwoHandedNameExp1-1			"Mithril Executioner Axe"
AxeTwoHandedNameExp1-2			"Adamantium Executioner Axe"

