
GoldStolen				"##1## volé"
StoredLightningSkillDesc		"Save mana in this mana stash. The first cast\nstores 167% of the specified mana as\nlightning.  The second cast returns the\nstored lightning to your mana pool.  Both\ncasts cost the mana specified."
LightningMastery			"Lightning Mastery"
LightningMasteryDesc			"Enhances the following lightning skills: $$LightningBlast$$,\n$$ChainLightning$$, $$BallLightning$$, and $$LightningSwarmSkillName$$."

// Special rooms

FoundRoomVaultLesser			"Found Lesser Vault"
FoundRoomVault				"Found Vault"
FoundRoomVaultGreater			"Found Greater Vault"

FoundRoomArmoryLesser			"Found Lesser Armory"
FoundRoomArmory				"Found Armory"
FoundRoomArmoryGreater			"Found Greater Armory"

FoundRoomTreasureRoomLesser		"Found Lesser Treasure Room"
FoundRoomTreasureRoom			"Found Treasure Room"
FoundRoomTreasureRoomGreater		"Found Greater Treasure Room"

FoundRoomLairLesser			"Found Lesser Lair"
FoundRoomLair				"Found Lair"
FoundRoomLairGreater			"Found Greater Lair"

FoundRoomSanctuaryLesser		"Found Lesser Sanctuary"
FoundRoomSanctuary			"Found Sanctuary"
FoundRoomSanctuaryGreater		"Found Greater Sanctuary"

// Zones

CarniverousCave				"Carniverous Cave"
CrossCaverns				"Cross Caverns"
ViciousChambers				"Vicious Chambers"
CuasticGrotto				"Caustic Grotto"
HarrowingHole				"Harrowing Hole"
MalevolentMaze				"Malevolent Maze"
TormentTomb				"Torment Tomb"
DireRealm				"Dire Realm"
BlackLabyrinth				"Black Labyrinth"
SullenCrypt				"Sullen Crypt"

ZealousCatacomb				"Zealous Catacomb"
BrutalCrypt				"Brutal Crypt"
ScowlingDen				"Scowling Den"
TortureDungeon				"Torture Dungeon"
HostileLabyrinth			"Hostile Labyrinth"
SavageLair				"Savage Lair"
MenaceMausoleum				"Menace Mausoleum"
FranticPit				"Frantic Pit"
VehementChambers			"Vehement Chambers"
BleakMaze				"Bleak Maze"

rp					"Reputation"

// Timed actions

UsingSkill				"Using Skill"
IdentifyingItem				"Identifying Item"
OpeningChest				"Opening Chest"
OpeningStash				"Searching Secret Stash"
OpeningDeadBody				"Searching Dead Body"
OpeningObject				"Searching Object"
CreatingGate				"Creating Gate"
Resurrecting				"Resurrecting"

// Item slots

HeadItemSlot				"EMPTY - put helmets here"
NeckItemSlot				"EMPTY - put necklaces here"
ShouldersItemSlot			"EMPTY - put shoulder items here"
BackItemSlot				"EMPTY - put capes here (rogues and mages only)"
ChestItemSlot				"EMPTY - put chest armor pieces here"
WristsItemSlot				"EMPTY - put wrist armor pieces here"
HandsItemSlot				"EMPTY - put gloves here"
WaistItemSlot				"EMPTY - put belts here"
LegsItemSlot				"EMPTY - put greaves here"
FeetItemSlot				"EMPTY - put boots here"
RingItemSlot				"EMPTY - put rings here"
TrinketItemSlot				"EMPTY - put trinkets here"
HandPrimaryItemSlot			"EMPTY - put weapons here"
HandSecondaryItemSlot			"EMPTY - put shields here (warriors and priests only)"
RangedItemSlot				"EMPTY - put ranged weapons here"
BagItemSlot				"EMPTY - put bags here"
GeneralItemSlot				"EMPTY - put any kind of item here"
JewelryItemSlot				"EMPTY - put other jewelry items here"
GuardItemSlot				"EMPTY - put guards here"
RelicItemSlot				"EMPTY - put relics here"
TomeItemSlot				"EMPTY - a specific tome goes here"

HeadOnlyHold				"helmets"
NeckOnlyHold				"necklaces"
ShouldersOnlyHold			"shoulder items"
BackOnlyHold				"capes"
ChestOnlyHold				"chest armor pieces"
WristsOnlyHold				"wrist armor pieces"
HandsOnlyHold				"gloves"
WaistOnlyHold				"belts"
LegsOnlyHold				"greaves"
FeetOnlyHold				"boots"
RingOnlyHold				"rings"
TrinketOnlyHold				"trinkets"
HandPrimaryOnlyHold			"weapons"
HandSecondaryOnlyHold			"shields"
RangedOnlyHold				"ranged weapons"
BagOnlyHold				"bags"
GeneralOnlyHold				"everything"
JewelryOnlyHold				"misc jewelry"
GuardOnlyHold				"guards"
RelicOnlyHold				"relics"
TomeOnlyHold				"tomes"

GateTo					"Gate to"
GateToHome				"Back to town"
GateXToY				"##1## to ##2##"
TownGate				"Town Gate"
CovenantGate				"Main Gate"
Gate					"Gate"

// Objects

PlayerStash				"Player stash"
PlayerStashDesc				"\nThis is your personal stash space for this player.\n"
SharedStash				"Shared stash"
SharedStashDesc				"\nThis stash is shared by all of your player characters.\nNot available in hardcore mode.\n"
Lifestone				"Lifestone"
Gate					"Gate"
TownGate				"Town Gate"
Entrance				"Entrance"
Torch					"Torch"
TeleportGate				"Teleport Gate"
Lantern					"Lantern"
CampFire				"Camp Fire"
Cauldron				"Cauldron"
TombBraizer				"Tomb Braizer"
PikeBraizer				"Pike Braizer"
SpikyWheel				"Spiky Wheel"
Door					"Door"
PoisonousMushroom			"Poisonous Mushroom"
EvilPool				"Evil Pool"
EvilPoolDesc				"\nUsually grants a good effect, but not always!"
SpiderWeb				"Spider Web"
EvilGate				"Evil Gate"
Altar					"Altar"
AltarDesc				"\nRegens everything and IDs/repairs all items"
AltarSummoning				"Altar of Summoning"
AltarDin				"Din's Altar"
EnergyVortex				"Energy Vortex"
ReconTotem				"Recon Totem"
SupportBeam				"Support Beam"
DefensiveTotemName			"Defensive Totem"
EvilAltar				"Evil Altar"
EvilAltarErillin			"Erillin's Altar"
EvilAltarHamlec				"Hamlec's Altar"
EvilAltarKracht				"Kracht's Altar"
EvilAltarMortus				"Mortus's Altar"
EvilAltarValta				"Valta's Altar"
CursedAltar				"Cursed Altar"
MachineEarthquake			"Earthquake Machine"
MachineDarkness				"Darkness Machine"
MachineWeather				"Weather Machine"
Lever					"Lever"
LeverBlast				"Blast Trigger"

// NPCs

Kendrich				"Kendrich"
Marin					"Marin"
Jewel					"Jewel"
Mal					"Mal"
Morgen					"Morgen"
Slade					"Slade"
Lory					"Lory"
Neria					"Neria"
Talbert					"Talbert"
Lucia					"Lucia"
Keely					"Keely"
Zoe					"Zoe"
Kyler					"Kyler"
Garek					"Garek"
Monroe					"Monroe"
Yuri					"Yuri"
Bliss					"Bliss"
Nye					"Nye"
Carvis					"Carvis"
Kalinda					"Kalinda"
Parc					"Parc"
Letta					"Letta"
Jarvin					"Jarvin"
Ivy					"Ivy"
Dag					"Dag"
Culver					"Culver"
Nore					"Nore"
Devlin					"Devlin"
Galia					"Galia"
Darion					"Darion"
Falker					"Falker"
Jacinda					"Jacinda"
Titus					"Titus"
Velvet					"Velvet"
Wade					"Wade"
Kora					"Kora"
Tanya					"Tanya"
Tor					"Tor"
Delinn					"Delinn"
Vin					"Vin"
Ivan					"Ivan"
Tia					"Tia"
Kalin					"Kalin"
Adalia					"Adalia"
Erin					"Erin"
Alcott					"Alcott"
Fitz					"Fitz"
Jayne					"Jayne"
Thorn					"Thorn"
NpcNameZane				"Zane"
NpcNameMedea				"Medea"

// Monster names

DarkElfWarrior1				"Dark Elf Fighter"
DarkElfWarrior2				"Dark Elf Mercenary"
DarkElfWarrior3				"Dark Elf Warrior"
DarkElfWarrior4				"Dark Elf Guardian"
DarkElfWarrior5				"Dark Elf Blademaster"

DarkElfWarrior1Unique			"Vile"
DarkElfWarrior1bUnique			"Mal"
DarkElfWarrior2Unique			"Tormenter"
DarkElfWarrior2bUnique			"Bane"
DarkElfWarrior3Unique			"Darkblade"
DarkElfWarrior3bUnique			"Darkterror"
DarkElfWarrior4Unique			"Nefarious"
DarkElfWarrior4bUnique			"Fonas"
DarkElfWarrior5Unique			"Emberstrike"
DarkElfWarrior5bUnique			"Blightsteel"

DarkElfWarrior1Legend			"Blazesteel"
DarkElfWarrior2Legend			"Steelslayer"
DarkElfWarrior3Legend			"Bloodsnake"
DarkElfWarrior4Legend			"Dreadeye"
DarkElfWarrior5Legend			"Foulblade"

DarkElfAssassin1			"Dark Elf Rogue"
DarkElfAssassin2			"Dark Elf Assassin"
DarkElfAssassin3			"Dark Elf Reaver"
DarkElfAssassin4			"Dark Elf Shadowblade"
DarkElfAssassin5			"Dark Elf Death Dealer"

DarkElfAssassin1Unique			"Nightdemon"
DarkElfAssassin1bUnique			"Chaostracker"
DarkElfAssassin2Unique			"Stonestrike"
DarkElfAssassin2bUnique			"Deathblow"
DarkElfAssassin3Unique			"Shadeslayer"
DarkElfAssassin3bUnique			"Foulhunter"
DarkElfAssassin4Unique			"Bladecraze"
DarkElfAssassin4bUnique			"Carver"
DarkElfAssassin5Unique			"Banestrike"
DarkElfAssassin5bUnique			"Jaggedmisery"

DarkElfAssassin1Legend			"Venomstrike"
DarkElfAssassin2Legend			"Reaverblade"
DarkElfAssassin3Legend			"Deadstrike"
DarkElfAssassin4Legend			"Posionhand"
DarkElfAssassin5Legend			"Deathsnare"

DarkElfDarkPriest1			"Dark Elf Disciple"
DarkElfDarkPriest2			"Dark Elf Diviner"
DarkElfDarkPriest3			"Dark Elf Priest"
DarkElfDarkPriest4			"Dark Elf Spiritmaster"
DarkElfDarkPriest5			"Dark Elf Dark Priest"

DarkElfDarkPriest1Unique		"Woe"
DarkElfDarkPriest1bUnique		"Plague"
DarkElfDarkPriest2Unique		"Unholyhand"
DarkElfDarkPriest2bUnique		"Shadowheart"
DarkElfDarkPriest3Unique		"Soulweaver"
DarkElfDarkPriest3bUnique		"Unholyravager"
DarkElfDarkPriest4Unique		"Soulburn"
DarkElfDarkPriest4bUnique		"Soulbiter"
DarkElfDarkPriest5Unique		"Nightshadow"
DarkElfDarkPriest5bUnique		"Unholytorment"

DarkElfDarkPriest1Legend		"Crueltongue"
DarkElfDarkPriest2Legend		"Arcticsoul"
DarkElfDarkPriest3Legend		"Black Death"
DarkElfDarkPriest4Legend		"Pox"
DarkElfDarkPriest5Legend		"Gida"

DarkElfWizard1				"Dark Elf Mage"
DarkElfWizard2				"Dark Elf Elementalist"
DarkElfWizard3				"Dark Elf Magician"
DarkElfWizard4				"Dark Elf Warden"
DarkElfWizard5				"Dark Elf Wizard"

DarkElfWizard1Unique			"Curse"
DarkElfWizard1bUnique			"Warchant"
DarkElfWizard2Unique			"Icemaster"
DarkElfWizard2bUnique			"Nightbringer"
DarkElfWizard3Unique			"Stormchill"
DarkElfWizard3bUnique			"Stormspawn"
DarkElfWizard4Unique			"Hellstorm"
DarkElfWizard4bUnique			"Blazingfist"
DarkElfWizard5Unique			"Jaggedchill"
DarkElfWizard5bUnique			"Arcaneslayer"

DarkElfWizard1Legend			"Blasttongue"
DarkElfWizard2Legend			"Grimcarnage"
DarkElfWizard3Legend			"Taro"
DarkElfWizard4Legend			"Cyro"
DarkElfWizard5Legend			"Vaden"

CruelTorva				"Cruel Torva"
Malice					"Malice"
Pravis					"Pravis"
Sting					"Sting"
WickedTorva				"Wicked Torva"
Bloodsavage				"Bloodsavage"
Pheros					"Pheros"
Kruel					"Kruel"
VileTorva				"Vile Torva"
Vilesavage				"Vilesavage"
Feram					"Feram"
Rabia					"Rabia"
MiseryTorva				"Misery Torva"
Galen					"Galen"
Tor					"Tor"
TheButcher				"The Butcher"
TortureTorva				"Torture Torva"
Slag					"Slag"
Sty					"Sty"
Matar					"Matar"
Torva					"Torva"

CruelTorvaShaman			"Cruel Torva Shaman"
Soulseeker				"Soulseeker"
Atrox					"Atrox"
Bloodwitch				"Bloodwitch"
WickedTorvaShaman			"Wicked Torva Shaman"
Direwitch				"Direwitch"
Fel					"Fel"
Darkfire				"Darkfire"
VileTorvaShaman				"Vile Torva Shaman"
Qual					"Qual"
Drol					"Drol"
Malica					"Malica"
MiseryTorvaShaman			"Misery Torva Shaman"
Galak					"Galak"
Vilesoul				"Vilesoul"
Katala					"Katala"
TortureTorvaShaman			"Torture Torva Shaman"
Keras					"Keras"
Foul					"Foul"
Zao					"Zao"
TorvaShaman				"Torva Shaman"

FireTower				"Fire Tower"
IceTower				"Ice Tower"
LightningTower				"Lightning Tower"
PoisonTower				"Poison Tower"

Skeleton				"Skeleton"
SkeletonLord				"Skeleton Lord"
Karn					"Karn"
BoneLord				"Bone Lord"
BoneSoldier				"Bone Soldier"
SkeletonKing				"Skeleton King"
Grim					"Grim"
Gravemaster				"Gravemaster"
DreadWarrior				"Dread Warrior"
Bonestink				"Bonestink"
Cryptwalker				"Cryptwalker"
Bonemaster				"Bonemaster"
BoneWarlord				"Bone Warlord"
Gravelord				"Gravelord"
Creeper					"Creeper"
LivingBone				"Living Bone"
Draugr					"Draugr"
Dreadbones				"Dreadbones"
Grimbone				"Grimbone"
Grimbones				"Grimbones"

SkeletonBowman				"Skeleton Bowman"
SkeletonBowmen				"Skeleton Bowmen"
Bonesavage				"Bonesavage"
Deadshot				"Deadshot"
Graveshadow				"Graveshadow"
BoneHunter				"Bone Hunter"
Bleakdeath				"Bleakdeath"
Cursedshot				"Cursedshot"
Bonebane				"Bonebane"
DreadHunter				"Dread Hunter"
Boneslime				"Boneslime"
Vilebone				"Vilebone"
Curseddeath				"Curseddeath"
BoneArcher				"Bone Archer"
Viledeath				"Viledeath"
Creak					"Creak"
Grimdeath				"Grimdeath"
DraugrArcher				"Draugr Archer"
Putriddeath				"Putriddeath"
Bleakbone				"Bleakbone"
Abomination				"Abomination"

SkeletonWarrior1			"Skeleton Warrior"
SkeletonWarrior2			"Bone Warrior"
SkeletonWarrior3			"Dread Warrior"
SkeletonWarrior4			"Bone Warrior Warlord"
SkeletonWarrior5			"Draugr Warrior"

SkeletonWarrior1Unique			"Steelskull"
SkeletonWarrior1bUnique			"Dreadhand"
SkeletonWarrior2Unique			"Bonestench"
SkeletonWarrior2bUnique			"Soulterror"
SkeletonWarrior3Unique			"Souldead"
SkeletonWarrior3bUnique			"Skullseeker"
SkeletonWarrior4Unique			"Deathwalker"
SkeletonWarrior4bUnique			"Arcticspike"
SkeletonWarrior5Unique			"Gravestench"
SkeletonWarrior5bUnique			"Skinslayer"

SkeletonWarrior1Legend			"Unholyrot"
SkeletonWarrior2Legend			"Gloomvile"
SkeletonWarrior3Legend			"Creepingdead"
SkeletonWarrior4Legend			"Corpseshock"
SkeletonWarrior5Legend			"Hellbone"

Zombie					"Zombie"
Graverot				"Graverot"
Duskhorror				"Duskhorror"
Abordar					"Abordar"
AnimatedCorpse				"Animated Corpse"
Corpsesnare				"Corpsesnare"
Gloom					"Gloom"
Rothorror				"Rothorror"
WalkingDead				"Walking Dead"
Dreadstench				"Dreadstench"
Vilestink				"Vilestink"
Rotmenace				"Rotmenace"
Ghoul					"Ghoul"
Dreadrot				"Dreadrot"
Reek					"Reek"
Gutstench				"Gutstench"
Revenant				"Revenant"
Deathrot				"Deathrot"
Fleshrot				"Fleshrot"
Foulcorpse				"Foulcorpse"

DesertSaurian				"Desert Saurian"
Geck					"Geck"
Agama					"Agama"
Komodo					"Komodo"
RiverSaurian				"River Saurian"
Sauros					"Sauros"
Gekkota					"Gekkota"
Croc					"Croc"
ForestSaurian				"Forest Saurian"
Tegus					"Tegus"
Coldblood				"Coldblood"
Croag					"Croag"
MountainSaurian				"Mountain Saurian"
Klaw					"Klaw"
Scale					"Scale"
Tesak					"Tesak"
JungleSaurian				"Jungle Saurian"
Gator					"Gator"
Toad					"Toad"
Gila					"Gila"
Saurian					"Saurian"

DesertSaurianMage			"Desert Saurian Mage"
Foulbane				"Foulbane"
Nightweaver				"Nightweaver"
StaticCharge				"Static Charge"
RiverSaurianMage			"River Saurian Mage"
LightningClaws				"Lightning Claws"
Blueflame				"Blueflame"
Bolt					"Bolt"
ForestSaurianMage			"Forest Saurian Mage"
Charge					"Charge"
Jolt					"Jolt"
Thunderstrike				"Thunderstrike"
MountainSaurianMage			"Mountain Saurian Mage"
Storm					"Storm"
Shock					"Shock"
Spark					"Spark"
JungleSaurianMage			"Jungle Saurian Mage"
Fang					"Fang"
Zap					"Zap"
LightningBolt				"Lightning Bolt"
SaurianMage				"Saurian Mage"

Apparition				"Apparition"
Deathshade				"Deathshade"
Soulshiver				"Soulshiver"
Gloomspirit				"Gloomspirit"
Ghost					"Ghost"
Blightspirit				"Blightspirit"
Ragespirit				"Ragespirit"
Deadtorment				"Deadtorment"
LostSoul				"Lost Soul"
Haunt					"Haunt"
Souldeath				"Souldeath"
Malevolent				"Malevolent"
Spectre					"Spectre"
Vengence				"Vengence"
Blight					"Blight"
TheCursed				"The Cursed"
Wraith					"Wraith"
Onryou					"Onryou"
Torment					"Torment"
Goryo					"Goryo"

DreadDog				"Dread Dog"
Blazebiter				"Blazebiter"
Drandor					"Drandor"
Direfang				"Direfang"
DireWolf				"Dire Wolf"
DireWolves				"Dire Wolves"
Vilefang				"Vilefang"
Wrog					"Wrog"
Hellbiter				"Hellbiter"
DoomHound				"Doom Hound"
Gutripper				"Gutripper"
Shreader				"Shreader"
Cerberus				"Cerberus"
Warg					"Warg"
Barghest				"Barghest"
Sever					"Sever"
Argos					"Argos"
Hellhound				"Hellhound"
Grendel					"Grendel"
Rend					"Rend"
Fenrir					"Fenrir"

Pixie					"Pixie"
Gutsplitter				"Gutsplitter"
Snare					"Snare"
Tormentor				"Tormentor"
Sprite					"Sprite"
Nakal					"Nakal"
Mole					"Mole"
Sotek					"Sotek"
Imp					"Imp"
Lutin					"Lutin"
Slog					"Slog"
Malice					"Malice"
Gremlin					"Gremlin"
Pícaro					"Pícaro"
Stab					"Stab"
Malo					"Malo"
Urchin					"Urchin"
Drog					"Drog"
Ruin					"Ruin"
Pan					"Pan"

PixieBigSister				"Pixie Big Sister"
Trickster				"Trickster"
Con					"Con"
Spite					"Spite"
SpriteBigSister				"Sprite Big Sister"
Malica					"Malica"
Praxis					"Praxis"
Koni					"Koni"
ImpBigSister				"Imp Big Sister"
Zekí					"Zekí"
Quirk					"Quirk"
Malin					"Malin"
GremlinBigSister			"Gremlin Big Sister"
Mekir					"Mekir"
Gall					"Gall"
Dajal					"Dajal"
UrchinBigSister				"Urchin Big Sister"
Kajan					"Kajan"
Provoker				"Provoker"
Zao					"Zao"

DimensionalGate				"Dimensional Gate"

Scavenger				"Scavenger"
Rotterror				"Rotterror"
Feast					"Feast"
Rotskinner				"Rotskinner"
CarrionEater				"Carrion Eater"
Corpsecraze				"Corpsecraze"
Gorerot					"Gorerot"
Corpsebiter				"Corpsebiter"
EateroftheDead				"Eater of the Dead"
Bloodtooth				"Bloodtooth"
Vulture					"Vulture"
Goretooth				"Goretooth"
Harvester				"Harvester"
Corpseripper				"Corpseripper"
Gorge					"Gorge"
Bloodmouth				"Bloodmouth"
Reaper					"Reaper"
CarnageEater				"Carnage Eater"
Devourer				"Devourer"
DeathEater				"Death Eater"

SandAmorph				"Sand Amorph"
CreepingDeath				"Creeping Death"
Sludge					"Sludge"
Gloomooze				"Gloomooze"
SmallSandAmorph				"Small Sand Amorph"
TinySandAmorph				"Tiny Sand Amorph"
SiltAmorph				"Silt Amorph"
Blackgrudge				"Blackgrudge"
Ulug					"Ulug"
Darkmenace				"Darkmenace"
SmallSiltAmorph				"Small Silt Amorph"
TinySiltAmorph				"Tiny Silt Amorph"
MudAmorph				"Mud Amorph"
Deathooze				"Deathooze"
Grime					"Grime"
Blackslime				"Blackslime"
SmallMudAmorph				"Small Mud Amorph"
TinyMudAmorph				"Tiny Mud Amorph"
EarthAmorph				"Earth Amorph"
Deathslime				"Deathslime"
Mire					"Mire"
Slimelord				"Slimelord"
SmallEarthAmorph			"Small Earth Amorph"
TinyEarthAmorph				"Tiny Earth Amorph"
ClayAmorph				"Clay Amorph"
Blackgrudge				"Blackgrudge"
Mudbane					"Mudbane"
Vileooze				"Vileooze"
SmallClayAmorph				"Small Clay Amorph"
TinyClayAmorph				"Tiny Clay Amorph"
Amorph					"Amorph"

BloodClanOrc				"Blood Clan Orc"
Gurfaut					"Gurfaut"
Bingor					"Bingor"
Klaym					"Klaym"
HavocClanOrc				"Havoc Clan Orc"
Karn					"Karn"
Omor					"Omor"
Keil					"Keil"
GoreClanOrc				"Gore Clan Orc"
Sald					"Sald"
Krag					"Krag"
Fier					"Fier"
CarnageClanOrc				"Carnage Clan Orc"
Hafog					"Hafog"
Seru					"Seru"
Zestok					"Zestok"
SavageClanOrc				"Savage Clan Orc"
Venin					"Venin"
Jarost					"Jarost"
Pyrs					"Pyrs"
Orc					"Orc"

BloodClanOrcShaman			"Blood Clan Orc Shaman"
HavocClanOrcShaman			"Havoc Clan Orc Shaman"
GoreClanOrcShaman			"Gore Clan Orc Shaman"
CarnageClanOrcShaman			"Carnage Clan Orc Shaman"
SavageClanOrcShaman			"Savage Clan Orc Shaman"
OrcShaman1Unique			"Vice"
OrcShaman1bUnique			"Ogrug"
OrcShaman2Unique			"Naz"
OrcShaman2bUnique			"Karg"
OrcShaman3Unique			"Vark"
OrcShaman3bUnique			"Brork"
OrcShaman4Unique			"Zurluk"
OrcShaman4bUnique			"Thogha"
OrcShaman5Unique			"Morog"
OrcShaman5bUnique			"Drak"
OrcShaman1Legend			"Orrag"
OrcShaman2Legend			"Zardag"
OrcShaman3Legend			"Krulg"
OrcShaman4Legend			"Urdak"
OrcShaman5Legend			"Gizlin"
OrcShaman				"Orc Shaman"

UndeadMage				"Undead Mage"
Clavros					"Clavros"
Master					"Master"
Grimmaster				"Grimmaster"
EternalWizard				"Eternal Wizard"
Zalim					"Zalim"
Darkmaster				"Darkmaster"
Deadbringer				"Deadbringer"
DeathWarlock				"Death Warlock"
Grimstriker				"Grimstriker"
Darknail				"Darknail"
Dapur					"Dapur"
ShadowSorcerer				"Shadow Sorcerer"
Sturen					"Sturen"
Shadow					"Shadow"
Tuzan					"Tuzan"
Lich					"Lich"
Strog					"Strog"
Dire					"Dire"
Kreyst					"Kreyst"

BlackWidow				"Black Widow"
Blackterror				"Blackterror"
Widow					"Widow"
RedbackSpider				"Red-back Spider"
Arac					"Arac"
Wolf					"Wolf"
FunnelwebSpider				"Funnel-web Spider"
Venom					"Venom"
Toxin					"Toxin"
SandSpider				"Sand Spider"
Sicari					"Sicari"
Veri					"Veri"
WanderingSpider				"Wandering Spider"
Racun					"Racun"
Bisa					"Bisa"
HoboSpider				"Hobo Spider"
Osum					"Osum"
Valo					"Valo"
BrownRecluse				"Brown Recluse"
Necrosis				"Necrosis"
Lox					"Lox"
YellowSacSpider				"Yellow Sac Spider"
Zehir					"Zehir"
Cyto					"Cyto"
Spider					"Spider"
GiantSpider				"Giant Spider"

AdderNaga				"Adder Naga"
Saris					"Saris"
Adder					"Adder"
Orm					"Orm"
Vipernaga				"Viper naga"
Viper					"Viper"
Draco					"Draco"
Vindla					"Vindla"
AspNaga					"Asp Naga"
Nagraj					"Nagraj"
Ophidia					"Ophidia"
Elapid					"Elapid"
MambaNaga				"Mamba Naga"
Slither					"Slither"
Venomfang				"Venomfang"
Constrictor				"Constrictor"
CobraNaga				"Cobra Naga"
Snake					"Snake"
Salir					"Salir"
Cobra					"Cobra"
Naga					"Naga"

AdderNagaPriest				"Adder Naga Priest"
Venom					"Venom"
Paean					"Paean"
Soulcarver				"Soulcarver"
ViperNagaPriest				"Viper Naga Priest"
Vipermaw				"Vipermaw"
Hood					"Hood"
Soulshock				"Soulshock"
AspNagaPriest				"Asp Naga Priest"
Dreadchant				"Dreadchant"
Darkfaith				"Darkfaith"
Darkritual				"Darkritual"
MambaNagaPriest				"Mamba Naga Priest"
ToxicFaith				"Toxic Faith"
Soulpoison				"Soulpoison"
Soulstriker				"Soulstriker"
CobraNagaPriest				"Cobra Naga Priest"
Corrupter				"Corrupter"
Craven					"Craven"
Doom					"Doom"
NagaPriest				"Naga Priest"

FireMinion				"Fire Minion"
Flameooze				"Flameooze"
Mag					"Mag"
Nightfire				"Nightfire"
LesserFireElemental			"Lesser Fire Elemental"
Flamestorm				"Flamestorm"
Molten					"Molten"
Doomblaze				"Doomblaze"
FireElemental				"Fire Elemental"
Hellblaze				"Hellblaze"
Charnelfire				"Charnelfire"
Hellfire				"Hellfire"
GreaterFireElemental			"Greater Fire Elemental"
Firelord				"Firelord"
Cinder					"Cinder"
Blazelord				"Blazelord"

IceMinion				"Ice Minion"
Icebane					"Icebane"
Coldember				"Coldember"
Shiverterror				"Shiverterror"
LesserIceElemental			"Lesser Ice Elemental"
Frostbane				"Frostbane"
Stormshiver				"Stormshiver"
Icefury					"Icefury"
IceElemental				"Ice Elemental"
Icestorm				"Icestorm"
Frozentouch				"Frozentouch"
FreezingMenace				"Freezing Menace"
GreaterIceElemental			"Greater Ice Elemental"
Icelord					"Icelord"
Bleak					"Bleak"
FrozenAbyss				"Frozen Abyss"

LightningMinion				"Lightning Minion"
Oblivion				"Oblivion"
Scorch					"Scorch"
Thunderboss				"Thunderboss"
LesserLightningElemental		"Lesser Lightning Elemental"
Ragestorm				"Ragestorm"
Blast					"Blast"
Stormterror				"Stormterror"
LightningElemental			"Lightning Elemental"
Vilestorm				"Vilestorm"
Boom					"Boom"
Thundermaster				"Thundermaster"
GreaterLightningElemental		"Greater Lightning Elemental"
Stormblaze				"Stormblaze"
Staticstorm				"Staticstorm"
LightningLord				"Lightning Lord"

UndeadKnight				"Undead Knight"
Deathseeker				"Deathseeker"
Fear					"Fear"
Deathstriker				"Deathstriker"
DreadKnight				"Dread Knight"
Azrael					"Azrael"
Terror					"Terror"
Destroyer				"Destroyer"
ShadowKnight				"Shadow Knight"
GrimReaper				"Grim Reaper"
Dire					"Dire"
MasterofDeath				"Master of Death"
DeathKnight				"Death Knight"
War					"War"
Dread					"Dread"
Famine					"Famine"
HorrorKnight				"Horror Knight"
Pestilence				"Pestilence"
Panic					"Panic"
Death					"Death"

Defender				"Defender"
Earthshaker				"Earthshaker"
Steelhunger				"Steelhunger"
TheWatcher				"The Watcher"
Sentry					"Sentry"
Sentries				"Sentries"
Stonetremor				"Stonetremor"
Rock					"Rock"
Rocksmasher				"Rocksmasher"
Protector				"Protector"
VigilantEyes				"Vigilant Eyes"
Eyes					"Eyes"
Golem					"Golem"
Guardian				"Guardian"
ImperialGuard				"Imperial Guard"
TheWarden				"The Warden"
RoyalGuard				"Royal Guard"
Sentinel				"Sentinel"
Praetorian				"Praetorian"
Stoneshield				"Stoneshield"
Argus					"Argus"

FireTotem				"Fire Totem"
IceTotem				"Ice Totem"
LightningTotem				"Lightning Totem"
PoisonTotem				"Poison Totem"
ElementalTotem				"Elemental Totem"
Totem					"Totem"

TotemDarkElf				"Dark Elf Totem"
TotemOrc				"Orc Totem"
TotemUndead				"Undead Totem"

Plaguebringer				"Plaguebringer"
Plagueshock				"Plagueshock"
Foulbreeder				"Foulbreeder"
Plaguelord				"Plaguelord"
CrawlingDoom				"Crawling Doom"
Plagueagony				"Plagueagony"
Curse					"Curse"
Foulsplitter				"Foulsplitter"
ParasiteDemon				"Parasite Demon"
Blightmenace				"Blightmenace"
Infester				"Infester"
Breedingagony				"Breedingagony"
BreedingDeath				"Breeding Death"
Blackmenace				"Blackmenace"
Scourge					"Scourge"
Blackdeath				"Blackdeath"
BlackDeath2				"Black Death"
Vileblight				"Vileblight"
Blightspreader				"Blightspreader"
TheBreeder				"The Breeder"

PlaguebringerLarva			"Plaguebringer Larva"
Blightsavage				"Blightsavage"
Rotspawn				"Rotspawn"
Slimespawn				"Slimespawn"
CrawlingDoomLarva			"Crawling Doom Larva"
Bloodspawn				"Bloodspawn"
Plaguespot				"Plaguespot"
Painbiter				"Painbiter"
ParasiteDemonLarva			"Parasite Demon Larva"
Vilespawn				"Vilespawn"
LittleScourge				"Little Scourge"
Parasitespawn				"Parasitespawn"
BreedingDeathLarva			"Breeding Death Larva"
Foulbreeding				"Foulbreeding"
Rot					"Rot"
Blackspawn				"Blackspawn"
BlackDeathLarva				"Black Death Larva"
Spawnblight				"Spawnblight"
Corrosion				"Corrosion"
LittleDeath				"Little Death"

GhostlyLight				"Ghostly Light"
Moonfire				"Moonfire"
Glimor					"Glimor"
Sparky					"Sparky"
