
// General

QuestSlotEmpty				"Emplacement de quête vide"
QuestCovKillThief			"##1## covenant has killed the thief."
QuestThiefItemsStolen			"Thief has stolen ##1## item##2## worth ##3## from ##4##"
QuestThiefDisappeared			"Thief has disappeared"
QuestThiefWins				"Thief stole ##1## item##2## and escaped town!"

// Meeting

QuestAnnounceMeeting			"Meeting between ##1## and ##2## in ##3##"
QuestAnnounceMeetingFromDelivery	"We have discovered that there is a meeting between ##1## and ##2## in ##3##"

QuestTitleMeeting			"Rencontre entre ##1## et ##2##"
QuestTextMeeting1			"Our scouts report that there is a meeting between ##1## and ##2## in ##3##. If you can kill both of them without either escaping, their kind will turn on each other.  If either of them lives, they will likely declare war on us.  It is a risk we are willing to take.  You will be rewarded well if you succeed."
QuestTextMeeting2			"There is a meeting between ##1## and ##2## in ##3##. If you can kill both without either escaping, their people will turn on each other.  If either gets away, they are likely to attack the town.  It's risky, but necessary.  Your reward will be great when you succeed."
QuestTextMeeting3			"We know there is a meeting between ##1## and ##2## in ##3##. If you can kill them without either escaping, their races will turn on each other.  If either of them escapes, they will likely descend on the town.  We must take this risk.  The reward for success is worthwhile."

QuestTextMeetingTruce			"We know there is a meeting between ##1## and ##2## in ##3##. They are trying to negotiation a truce. If you can kill them both we can keep them in war a little longer. If either of them escapes, they will likely declare war on us."

// Uprising

QuestAnnounceUprising			"An uprising of ##1## has started in ##2##."
QuestAnnounceUprisingFromBoss		"##3## has started an uprising of ##1## in ##2##."
QuestAnnounceUprisingFromMonsterHunter	"A ##3## hunter has started an uprising of ##1## in ##2##."
QuestAnnounceUprisingFromUniqueMonsterSpotted		"##3## has started an uprising of ##1## in ##2##."
QuestAnnounceUprisingFromKillMonsterGroup		"##3##'s group has started an uprising of ##1## in ##2##."
QuestAnnounceUprisingFromWar		"A war has led to an uprising of ##1## in ##2##."
QuestAnnounceUprisingFromQuestUniqueGate	"An evil gate has led to an uprising of ##1## in ##2##."
QuestAnnounceUprisingFromQuestDinArtifact	"Destroying the evil artifact has led to an uprising of ##1## in ##2##."
QuestAnnounceUprisingFromQuestDinUniqueAltarErillin	"Due to the influence of Erillin's Altar, an uprising of ##1## has started in ##2##."
QuestAnnounceUprisingFromQuestDinUniqueAltarHamlec	"Due to the influence of Hamlec's Altar, an uprising of ##1## has started in ##2##."
QuestAnnounceUprisingFromQuestDinUniqueAltarMortus	"Due to the influence of Mortus's Altar, an uprising of ##1## has started in ##2##."
QuestAnnounceUprisingFromQuestDinUniqueAltarValta	"Due to the influence of Valta's Altar, an uprising of ##1## has started in ##2##."

QuestTitleUprising			"Soulevement de ##1##"
QuestTextUprising1			"There has been an uprising of ##1##.  Go deal with them before they cause more damage!"
QuestTextUprising2			"An uprising of ##1## is causing trouble.  Deal with them before we lose more ground!"
QuestTextUprising3			"There's another uprising, this time it's ##1##.  Go deal with them before it's too late!"

QuestEventUprisingDestroyed		"An uprising of ##2## has been destroyed by ##1##s"

// Area Overrun

QuestAnnounceAreaOverrun		"##2## is now overrun with ##1##."
QuestTitleAreaOverrun			"Area overrun with ##1##"
QuestTextAreaOverrun			"##2## is now overrun with ##1##.  Go deal with them before it gets worse!"

// Monster Gathering

QuestAnnounceMonsterGathering		"Il y a un rassemblement de ##1## dans ##2##."
QuestTitleMonsterGathering		"Rassemblement de ##1##"
QuestTextMonsterGathering		"##1## are gathering in ##2## for some reason. They must be planning something. Go deal with them before their plan can take shape!"

// Monster Pre Gathering

QuestAnnounceMonsterPreGathering	"Augmentation des ##1## dans ##2##."
QuestTitleMonsterPreGathering		"Augmentation de la population de ##1##"
QuestTextMonsterPreGathering		"Il y a eu un influx de ##1## dans ##2##. Allez en tuer quelques uns avant qu'ils n'aient des idees."

// UprisingRaidPlan

QuestAnnounceUprisingRaidPlan		"Un soulevement de ##1## prepare une attaque de la ville."
QuestTitleUprisingRaidPlan		"Attaque ##1## imminente de la ville"
QuestTextUprisingRaidPlan		"Un groupe de ##1## dans ##2## prepare une attaque de la ville. Allez les tuer avant qu'ils ne puissent nous attaquer."

QuestTextUprisingRaidPlanDin		"La ville ne le saitpas encore, mais un groupe de ##1## dans ##2## prepare une attaque de la ville. Allez les tuer avant qu'ils ne puissent attaquer la ville."

// UprisingTownAttackPlan

QuestAnnounceUprisingTownAttackPlan	"Un soulevement de ##1## se prepare a attaquer la ville."
QuestAnnounceUprisingTownAttackPlanFromQuestFindPlans1	"Nous avons decouvert qu'un soulevement de ##1## prepare une attaque de la ville."

QuestTitleUprisingTownAttackPlan	"Attaque ##1## de la ville imminente"
QuestTextUprisingTownAttackPlan		"A group of ##1## in ##2## are planning to attack the town. Go kill them before they can attack us."

QuestTextUprisingTownAttackPlanDin	"The town doesn't know it yet, but a group of ##1## in ##2## are planning to attack the town. Go kill them before they can attack the town."

// UprisingBase

QuestAnnounceUprisingBase		"##1## base of operations found in ##2##."
QuestTitleUprisingBase			"##1## base of operations"
QuestTextUprisingBase			"We have located a base of operations for some ##1## in ##2##. They aren't terribly organized at this point. Go kill them before they cause too much trouble."

// UprisingUndead

QuestTextUprisingUndead			"The ##1## are spreading more and more undead in ##2##. Go deal with them before they infect the entire world!"

// Altar

QuestAnnounceUniqueAltar		"Discovered an evil altar."
QuestAnnounceUniqueAltarFromBoss	"##3## has built an evil altar."
QuestAnnounceUniqueAltarFromUniqueMonsterSpotted	"##3## has built an evil altar."
QuestAnnounceUniqueAltarFromKillMonsterGroup	"##3##'s group has built an evil altar."
QuestAnnounceUniqueAltarFromQuestFindPlansAltar	"We failed to discover the plans, now an evil altar has been built."

QuestTitleUniqueAltar			"Destroy the evil altar"
QuestTextUniqueAltar			"We have discovered an altar being used for evil purposes in ##2##. It is making all of the monsters in the area stronger. Go destroy the altar."
QuestAnnounceAltarRevenge		"Raid is revenge for destroying their altar!"

QuestAnnounceUniqueAltarErillin		"An altar has built to serve the goddess Erillin."
QuestTitleUniqueAltarErillin		"Destroy Erillin's altar"
QuestTextUniqueAltarErillin		"An altar has been built to serve the goddess Erillin in ##2## to make all nearby monsters stronger. The Goddess of Magic and the naga won't stop there. You must destroy her altar before she gets a stronger hold."

QuestAnnounceUniqueAltarHamlec		"An altar has built to serve the god Hamlec."
QuestTitleUniqueAltarHamlec		"Destroy Hamlec's altar"
QuestTextUniqueAltarHamlec		"An altar has been built to serve the god Hamlec in ##2## to make all nearby monsters stronger. Orcs worship the God of Destruction and his altar will bring more terror to this town. Destroy it!"

QuestAnnounceUniqueAltarKracht		"An altar has built to serve the god Kracht."
QuestTitleUniqueAltarKracht		"Destroy Kracht's altar"
QuestTextUniqueAltarKracht		"The god Kracht's altar has been built to in ##2## to make all nearby monsters stronger. The God of War must not be allowed free reign. You have to destroy his altar."

QuestAnnounceUniqueAltarMortus		"An altar has built to serve the god Mortus."
QuestTitleUniqueAltarMortus		"Destroy Mortus's altar"
QuestTextUniqueAltarMortus		"An altar has been built in ##2##  serving the god Mortus. It makes all nearby monsters stronger, and you must not allow the God of Death to undermine our work. Go destroy his altar."

QuestAnnounceUniqueAltarValta		"Un autel a ete erige pour servir la deesse Valta."
QuestTitleUniqueAltarValta		"Detruire l'autel de Valta"
QuestTextUniqueAltarValta		"In ##2##, an altar has been built for the goddess Valta and makes all nearby monsters stronger. The Goddess of Chaos must not get a foothold here, or the town is doomed. Dark elves follow where she goes. You must stop this blight by destroying her altar."

// AltarCurse

QuestAnnounceUniqueAltarCurse		"Discovered an evil altar cursing the area."
QuestAnnounceUniqueAltarCurseFromBoss	"##3## has built an evil altar cursing the area."
QuestAnnounceUniqueAltarCurseFromUniqueMonsterSpotted	"##3## has built an evil altar cursing the area."
QuestAnnounceUniqueAltarCurseFromKillMonsterGroup	"##3##'s group has built an evil altar cursing the area."
QuestAnnounceUniqueAltarCurseFromQuestFindPlansAltarCurse	"We failed to discover the plans, now an evil altar is cursing the area."

QuestTitleUniqueAltarCurse		"Destroy the evil altar curse"
QuestTextUniqueAltarCurse		"We have discovered an altar being used for evil purposes in ##2##. It cursing more and more items in the area. Go destroy the altar."

// MachineEarthquake

QuestAnnounceUniqueMachineEarthquake	"Discovered an earthquake machine."
QuestAnnounceUniqueMachineEarthquakeFromBoss	"##3## has built an earthquake machine."
QuestAnnounceUniqueMachineEarthquakeFromUniqueMonsterSpotted	"##3## has built an earthquake machine."
QuestAnnounceUniqueMachineEarthquakeFromKillMonsterGroup	"##3##'s group has built an earthquake machine."
QuestAnnounceUniqueMachineEarthquakeFromQuestFindPlansMachineEarthquake	"We failed to discover the plans, now an earthquake machine has been built."
QuestAnnounceUniqueMachineEarthquakeFromQuestUniqueMachineDarkness	"Due to the success of the darkness machine, now an earthquake machine has been built."
QuestAnnounceUniqueMachineEarthquakeFromQuestUniqueMachineWeather	"Due to the success of the weather machine, now an earthquake machine has been built."
QuestAnnounceUniqueMachineEarthquakeFromQuestDinUniqueAltarErillin	"In worship of the altar to Erillin, an earthquake machine has been built."

QuestTitleUniqueMachineEarthquake	"Detruire la machine a tremblements de terre"
QuestTextUniqueMachineEarthquake	"We have discovered a machine that is causing earthquakes. Go destroy the machine."

// MachineDarkness

QuestAnnounceUniqueMachineDarkness	"Discovered a darkness machine."
QuestAnnounceUniqueMachineDarknessFromBoss	"##3## has built a darkness machine."
QuestAnnounceUniqueMachineDarknessFromUniqueMonsterSpotted	"##3## has built a darkness machine."
QuestAnnounceUniqueMachineDarknessFromKillMonsterGroup		"##3##'s group has built a darkness machine."
QuestAnnounceUniqueMachineDarknessFromQuestFindPlansMachineEarthquake	"We failed to discover the plans, now a darkness machine has been built."
QuestAnnounceUniqueMachineDarknessFromQuestUniqueMachineEarthquake	"Due to the success of the earthquake machine, now a darkness machine has been built."
QuestAnnounceUniqueMachineDarknessFromQuestUniqueMachineWeather	"Due to the success of the weather machine, now a darkness machine has been built."
QuestAnnounceUniqueMachineDarknessFromQuestDinUniqueAltarErillin	"In worship of the altar to Erillin, a darkness machine has been built."

QuestTitleUniqueMachineDarkness		"Destroy the darkness machine"
QuestTextUniqueMachineDarkness		"We have discovered a machine that is causing darkness for the entire area. The town is much more vulnerable like this and food is much more expensive. Go destroy the machine."

// MachineWeather

QuestAnnounceUniqueMachineWeather	"Discovered a weather machine."
QuestAnnounceUniqueMachineWeatherFromBoss	"##3## has built a weather machine."
QuestAnnounceUniqueMachineWeatherFromUniqueMonsterSpotted	"##3## has built a weather machine."
QuestAnnounceUniqueMachineWeatherFromKillMonsterGroup		"##3##'s group has built a weather machine."
QuestAnnounceUniqueMachineWeatherFromQuestFindPlansMachineEarthquake	"We failed to discover the plans, now a weather machine has been built."
QuestAnnounceUniqueMachineWeatherFromQuestUniqueMachineEarthquake	"Due to the success of the earthquake machine, now a weather machine has been built."
QuestAnnounceUniqueMachineWeatherFromQuestUniqueMachineDarkness	"Due to the success of the darkness machine, now a weather machine has been built."
QuestAnnounceUniqueMachineWeatherFromQuestDinUniqueAltarErillin	"In worship of the altar to Erillin, a weather machine has been built."

QuestTitleUniqueMachineWeather		"Detruire la machine a climat"
QuestTextUniqueMachineWeather		"We have discovered a machine that is causing terrible weather for the town. While the machine is running food will be much more expensive. Go destroy the machine."

// Gate

QuestAnnounceUniqueGate			"On a decouvert un portail malefique."
QuestAnnounceUniqueGateFromBoss		"##3## has built an evil gate."
QuestAnnounceUniqueGateFromUniqueMonsterSpotted		"##3## has built an evil gate."
QuestAnnounceUniqueGateFromKillMonsterGroup		"##3##'s group has built an evil gate."
QuestAnnounceUniqueGateFromQuestFindPlansGate		"We failed to discover the plans, now an evil gate has been built."

QuestTitleUniqueGate			"Detruire le portazil malefique"
QuestTextUniqueGate			"We have discovered a gate that has been set up by the evil forces below us. Destroy the gate before it has time to bring in even more hideous monsters."

// Recon totem

QuestAnnounceUniqueReconTotem		"Discovered a recon totem."
QuestAnnounceUniqueReconTotemFromBoss	"##3## has built a recon totem."
QuestAnnounceUniqueReconTotemFromUniqueMonsterSpotted	"##3## has built a recon totem."
QuestAnnounceUniqueReconTotemFromKillMonsterGroup	"##3##'s group has built a recon totem."
QuestAnnounceUniqueReconTotemFromQuestFindPlansReconTotem	"We failed to discover the plans, now a recon totem has been built."

QuestTitleUniqueReconTotem		"Destroy the recon totem"
QuestTextUniqueReconTotem		"We have discovered a recon totem that is spying on the town. The more they know about the town the more likely the will attack us in same way. Hurry and destroy the recon totem!"

// Unique monster spotted

QuestAnnounceUniqueMonsterSpotted	"##1## has been spotted in ##2##"
QuestAnnounceUniqueMonsterSpottedFromUprising	"The uprising of ##3## have promoted ##1## as their new leader in ##2##!"
QuestAnnounceUniqueMonsterSpottedFromQuestUniqueGate	"An evil gate has spawned ##1## in to ##2##!"
QuestAnnounceUniqueMonsterSpottedFromQuestUniqueSummoning	"##3## has summoned ##1## in to ##2##!"

QuestTextUniqueMonsterSpotted1		"##1## has been spotted.  Go kill him before he becomes more dangerous!"
QuestTextUniqueMonsterSpotted2		"##1## is too dangerous.  He must die!"
QuestTextUniqueMonsterSpotted3		"##1## has been seen nearby.  Kill him before he starts trouble!"
QuestTextUniqueMonsterSpotted4		"##1## a ete vu dans les environs.  Nous craignons que ca ne vaille rien de bon !"

QuestAnnounceReplacementUnique		"It seems that ##1## was keeping another monster in line."
QuestAnnounceUpsetFollowers		"Looks like killing ##1## upset some followers."
QuestAnnounceUpsetFactions		"Looks like killing ##1## might have just started a war."
QuestAnnounceGroupTakingAdvantage	"Looks like a group is taking advantage of ##1## being killed."

// UniqueRaidPlan

QuestAnnounceUniqueRaidPlan		"##1## has plans to raid the town"
QuestTextUniqueRaidPlan			"##1## has plans to raid the town.  Go kill him before he can!"

// UniqueTownAttackPlan

QuestAnnounceUniqueTownAttackPlan	"##1## has plans to attack the town"
QuestTextUniqueTownAttackPlan		"##1## has plans to attack the town.  Go kill him before he can!"

// UniqueInvasionPlan

QuestAnnounceUniqueInvasionPlan		"##1## has plans to invade the town"
QuestTextUniqueInvasionPlan		"##1## has plans to invade the town.  Go kill him before he can!"

// Bounty

QuestAnnounceUniqueBounty		"Prime pour ##1##"
QuestTextUniqueBounty			"There is an outstanding bounty for ##1##.  Kill ##3## to collect the reward."

// UniqueBuildingSomething

QuestAnnounceUniqueBuildingSomething	"##1## is building something"
QuestTextUniqueBuildingSomething	"We think ##1## is building something down in the dungeon. You must kill him before he can complete it!"

// UniqueBuildingGate

QuestAnnounceUniqueBuildingGate		"##1## est en train de construire un portail"
QuestTextUniqueBuildingGate		"##1## est en train de construire un portail. Vous devez le tuer avant qu'il ne puisse l'achever !"

// UniqueBuildingAltar

QuestAnnounceUniqueBuildingAltar	"##1## est en train de construire un autel"
QuestTextUniqueBuildingAltar		"##1## est en train de construire un autel. Vous devez le tuer avant qu'il ne puisse l'achever !"

// UniqueBuildingAltarCurse

QuestAnnounceUniqueBuildingAltarCurse	"##1## est en train de construire un autel maudit"
QuestTextUniqueBuildingAltarCurse	"##1## est en train de construire un autel maudit. Vous devez le tuer avant qu'il ne puisse l'achever !"

// UniqueBuildingReconTotem

QuestAnnounceUniqueBuildingReconTotem	"##1## is building a recon totem"
QuestTextUniqueBuildingReconTotem	"##1## is building a recon totem. Vous devez le tuer avant qu'il ne puisse l'achever !"

// UniqueBuildingMachineEarthquake

QuestAnnounceUniqueBuildingMachineEarthquake	"##1## is building an earthquake machine"
QuestAnnounceUniqueBuildingMachineEarthquakeFromQuestUniqueMachineDarkness	"Due to the success of the darkness machine, ##1## is building an earthquake machine"
QuestAnnounceUniqueBuildingMachineEarthquakeFromQuestUniqueMachineWeather	"Due to the success of the weather machine, ##1## is building an earthquake machine"

QuestTextUniqueBuildingMachineEarthquake	"##1## is building an earthquake machine. Vous devez le tuer avant qu'il ne puisse l'achever !"

// UniqueBuildingMachineDarkness

QuestAnnounceUniqueBuildingMachineDarkness	"##1## is building a darkness machine"
QuestAnnounceUniqueBuildingMachineDarknessFromQuestUniqueMachineEarthquake	"Due to the success of the earthquake machine, ##1## is building a darkness machine"
QuestAnnounceUniqueBuildingMachineDarknessFromQuestUniqueMachineWeather		"Due to the success of the weather machine, ##1## is building a darkness machine"

QuestTextUniqueBuildingMachineDarkness		"##1## is building a darkness machine. Vous devez le tuer avant qu'il ne puisse l'achever !"

// UniqueBuildingMachineWeather

QuestAnnounceUniqueBuildingMachineWeather	"##1## is building a weather machine"
QuestAnnounceUniqueBuildingMachineWeatherFromQuestUniqueMachineEarthquake	"Due to the success of the earthquake machine, ##1## is building a weather machine"
QuestAnnounceUniqueBuildingMachineWeatherFromQuestUniqueMachineDarkness		"Due to the success of the darkness machine, ##1## is building a weather machine"

QuestTextUniqueBuildingMachineWeather		"##1## is building a weather machine. Vous devez le tuer avant qu'il ne puisse l'achever !"

// UniqueSummoning

QuestAnnounceUniqueSummoning		"##1## is summoning more monsters"
QuestTextUniqueSummoning		"##1## is summoning more monsters. We don't know if he will cause monster uprisings or summon powerful monsters like himself, either way he needs to be stopped!"

// UniqueBuildingArmy

QuestAnnounceUniqueBuildingArmy		"##1## est en train de reunir une armee"
QuestTextUniqueBuildingArmy		"##1## est en train de reunir une armee de monstres. Nous ne voulons pas savoir ce que ##1## va faire avec cette armee. Allez le tuer immediatement !"

// Peacemaker

QuestTextUniquePeacemaker		"Nous pensons que ##1## est un pacifiste et une guerre avec les monstres va eclatter si vous le tuez."
QuestAnnouncePeacemakerDead		"##1## gardait la horde sous controle"

// Ambush

QuestAnnounceAmbush			"Ambuscade !"

// Kill monster group

QuestAnnounceKillMonsterGroup		"##1## a forme un groupe de monstres dans ##2##"
QuestTitleMonsterGroup			"Tuer le groupe de ##1##"
QuestTextKillMonsterGroup1		"##1## has formed a group of monsters. Go kill them before they cause trouble."
QuestTextKillMonsterGroup2		"A group of monsters now follows ##1##. You must kill them before they cause trouble."
QuestTextKillMonsterGroup3		"##1## has assembled a group of monsters. They will cause trouble unless you go kill them."
QuestProgressMonsterGroupFull		"##1## monster ##2## in group left to kill\n"
QuestProgressMonsterGroupPartial	"Progress: ##1## monster##2## in group left to kill\n"
QuestEventGroupSplit			"##1##'s group of monsters has split apart"
QuestEventGroupAddedTo			"##2## has joined ##1##'s group of monsters"

// Kidnapping

QuestAnnounceKidnapping			"##1## a enleve ##2## !"
QuestAnnounceKidnappingFromMonsterScout	"A cause de l'eclaireur ##3##, ##1## a enleve ##2## !"

QuestTitleKindappingFailed		"Un villageois a ete enleve"
QuestTitleKindapping			"##1## a ete enleve"
QuestTextKidnappingFailed		"Un villageois a ete enleve, et vous ne l'avez pas sauve !"
QuestTextKidnapping1			"##1## a enleve ##2##.  Allez ##3## secourir."
QuestTextKidnapping2			"Je n'arrive pas a croire que ##1## ait enleve ##2##.  Allez. Vous devez ##3## sauver."
QuestTextKidnapping3			"Ce malefique ##1## a enleve ##2##.  Secourez ##3## si vous pouvez."
QuestKilledKidnapping			"##1## n'a pas ete secouru(e) et est mort(e) !"
QuestMalePronounKidnapping		"le"
QuestFemalePronounKidnapping		"la"

// Hostage

QuestAnnounceHostage			"##1## a pris ##2## en otage !"
QuestTitleHostage			"##1## a ete pris en otage"
QuestTextHostage			"##1## a pris ##2## en otage.  Allez ##3## secourir."

HostageQuestion				"J'exige que vous me payiez ##2## ou je tue ##1##"
HostageAnswer1				"Payer la rancon"
HostageAnswer2				"Refuser l'exigence"

// Level items

QuestAnnounceLevelQuestItem		"La ville a besoin de davantage de ##1##"
QuestAnnounceLevelQuestItemFromScoutLocation	"Now that the area has been scouted, the town needs more ##1##"

QuestTitleLevelQuestItem		"Rassembler ##1## ##2##"
QuestTextLevelQuestItem1		"The town is low on provisions; gather ##1## ##2##.  You can find ##2## on the ground in ##5##."
QuestTextLevelQuestItem2		"The town needs more supplies, gather ##1## ##2## off of the ground in ##5##."
QuestTextLevelQuestItem3		"Our town is in need of certain stores. Please find ##1## ##2##, probably in ##5##."
QuestTextLevelQuestItem4		"We have run out of some greatly needed supplies but they are much too dangerous to gather for most of us.  Please gather ##1## ##2##.  You will find them in ##5##."
QuestTextArmorsmithLevelQuestItem1	"I'm low on supplies, gather me ##1## ##2##.  You can find ##2## on the ground in ##5##."
QuestTextArmorsmithLevelQuestItem2	"I need more materials, gather me ##1## ##2##.  Gather ##2## from the ground in ##5##."
QuestTextArmorsmithLevelQuestItem3	"You're just who I was looking for! Please bring me ##1## ##2##, most likely located on the ground in ##5##."
QuestTextWeaponsmithLevelQuestItem1	"I'm low on supplies, gather me ##1## ##2##.  You can find ##2## on the ground in ##5##."
QuestTextWeaponsmithLevelQuestItem2	"I need more materials, gather me ##1## ##2##.  Gather ##2## from the ground in ##5##."
QuestTextWeaponsmithLevelQuestItem3	"I'm doomed if I don't get more supplies! I doubt you can help, but in case I'm wrong, please bring me ##1## ##2##.  They will be on the ground in ##5##."
QuestTextWeaponsmithLevelQuestItem4	"I use a lot of magical components when I forge weapons.  Unfortunately I have run out of some.  Find me ##1## ##2##. They will be on the ground in ##5##."

QuestAnnounceArmorsmithLevelQuestItem	"The armorsmith needs more ##1##\n"
QuestAnnounceWeaponsmithLevelQuestItem	"The weaponsmith needs more ##1##\n"

QuestEventGatherSuccessLevelItem	"##1## has gathered the ##2## needed"
QuestEventGatherFailureLevelItem	"##1## attempted to gather the ##2## needed, but has died"
QuestEventGatherRescueLevelItem		"##1## attempted to gather the ##2## needed, but now needs to be rescued"

QuestTextArmorsmithLevelQuestUniqueItem1	"I'm making ##4## but I need some final supplies. Find me ##1## ##2## so I can complete my project. I'm planning on selling the armor after it is completed."
QuestTextWeaponsmithLevelQuestUniqueItem1	"I'm making ##4## but I need some final supplies. Find me ##1## ##2## so I can complete my project. I'm planning on selling the weapon after it is completed."

// Level items personal

QuestAnnounceLevelQuestItemPersonal	"##3## a besoin de davantage de ##1##\n"
QuestTextLevelQuestItemPersonal		"##3## needs ##1## ##2## for a personal project.  You can find ##2## on the ground in "

QuestAnnounceLevelQuestItemPersonalApothecary	"The apothecary needs more ##1##\n"
QuestTextLevelQuestItemPersonalApothecary	"The apothecary needs ##1## ##2## for a personal project.  You can find ##2## on the ground in "

// Find Plans

QuestAnnounceFindPlans			"Something strange is going on in ##2##"
QuestTitleFindPlans			"Trouver les plans"
QuestTextFindPlans			"Something strange is going on, search for the plans in ##5##."
QuestAnnouncePlansBrokenGate		"We have disrupted plans to build a gate"
QuestAnnouncePlansBrokenAltar		"We have disrupted plans to build an altar"
QuestAnnouncePlansBrokenAltarCurse	"We have disrupted plans to build a cursed altar"
QuestAnnouncePlansBrokenReconTotem	"We have disrupted plans to build a recon totem"
QuestAnnouncePlansBrokenMachineEarthquake	"We have disrupted plans to build an earthquake machine"
QuestAnnouncePlansBrokenMachineDarkness	"We have disrupted plans to build a darkness machine"
QuestAnnouncePlansBrokenMachineWeather	"We have disrupted plans to build a weather machine"

// Lost item

QuestAnnounceLostHeirloom		"##3## has lost a valuable family heirloom"
QuestTitleLostHeirloom			"Heritage familial perdu"
QuestTextLostHeirloom			"I have lost a valuable family heirloom down in the dungeon, pleace bring it back to me."

// Relic

Relic					"Relique"
QuestAnnounceRelic			"##3## est a la recherche d'une relique fabuleuse"
QuestTitleRelic				"Trouver la relique fabuleuse"
QuestTextRelic				"##3## is looking for a fabled relic that is believed to have great powers but it is unclear what those powers are. Please go down into the dungeon and find this relic if you can."

// Artifact

Artifact				"Artefact"
QuestAnnounceArtifactDin		"Din est a la recherche d'un artefact malefique"
QuestTitleArtifactDin			"Trouver l'artefact malefique"
QuestTextArtifactDin			"Din is looking for an evil artifact that is extremely dangerous. Beware if you successfully find this artifact, there might be a backlash."

// Possessed

QuestAnnouncePossessed			"##2## has been possessed, find a cure before we are forced to kill\n"
QuestTitlePossessed			"##1## est possede"
QuestTextPossessed			"##4## a ete possede !.  Allez trouver ##1## ##3## de ##2## pour que je puisse le guerir."

// Treasure map

QuestAnnounceTreasureMap		"Emplacement du tresor marque sur la carte du monde (##1##)"
QuestTitleTreasureMap			"Trouver le tresor enterre"
QuestTextTreasureMap1			"Trouvez le tresor enterre"
QuestTextTreasureMap2			"Find the buried horde treasure"
QuestTextTreasureMap3			"Find the buried pirate treasure"
QuestSolvedTreasureMap			"Found buried treasure"

// Rescue

QuestAnnounceRescueNpc			"##1## a besoin d'etre secouru"
QuestAnnounceRescueNpcFromEscort	"##1## n'a pas ete escorte(e) a temps et a maintenant besoin d'etre secouru"

QuestTitleRescueNpc			"Secourir ##1##"
QuestRescueNotSafe			"Can't rescue until safe from nearby monsters!"
QuestTextRescue1			"Secourez ##1##."
QuestTextRescue2			"Vous devez secourir ##1##."
QuestTextRescue3			"Secourez ##1##, si vous pouvez."
QuestKilledRescueNpc			"##1## was not rescued and has died!"
RescueNpcText				"Sauvez-moi, je vous en prie."

QuestTextRescueDin			"##1## is in danger and is important to my cause. Go rescue ##1##"

// Din quests

AvatarTalkTo				"Talk to Din's Avatar when the quest is completed.\n"

QuestTextDinStartQuestNormal		"For your first task on the path of redeeming yourself, prove yourself by killing ##2## ##1##."
QuestTextDinEndQuestNormal		"You have come a long way. If you can do this thing for me, I will release you from my service. ##1## has taken over the dungeon below, go kill him."
QuestSolveTextDinEndQuestNormal		"You have been granted your freedom"

QuestTextDinStartQuestChampion		"For your first task on the path of becoming one of my champions, prove yourself by killing ##2## ##1##."
QuestTextDinEndQuestChampion		"You have come a long way. If you can do this thing for me, I will make you one of my champions. ##1## has taken over the dungeon below, go kill him."
QuestSolveTextDinEndQuestChampion	"Vous etes maintenant un Champion de Din"

QuestTextDinStartQuestElite		"For your first task on the path of becoming one of my elite, prove yourself by killing ##2## ##1##."
QuestTextDinEndQuestElite		"You have come a long way. If you can do this thing for me, I will make you one of my elites. ##1## has taken over the dungeon below, go kill him."
QuestSolveTextDinEndQuestElite		"Vous etes maintenant un membre de l'Elite de Din"

QuestTextDinStartQuestLegendary		"For your first task on the path of becoming one of my legends, prove yourself by killing ##2## ##1##."
QuestTextDinEndQuestLegendary		"You have come a long way. If you can do this thing for me, I will make you one of my legends. ##1## has taken over the dungeon below, go kill him."
QuestSolveTextDinEndQuestLegendary	"Vous etes maintenant une Legende de Din"

// Wandering vendors

QuestAnnounceWanderingVendorInTown	"##1## has arrived in town and will leave shortly"

// New npc quests

QuestAnnounceNewNpcWarmaster		"A potential new Warmaster has been found"
QuestTitleNewNpcWarmaster		"Recruit a new Warmaster"
QuestTextNewNpcWarmaster1		"I have found a potential new Warmaster, but we need to prove ourselves worthy. Kill ##2## ##1##."

QuestAnnounceNewNpcApothecary		"A potential new Apothecary has been found"
QuestTitleNewNpcApothecary		"Recruit a new Apothecary"
QuestTextNewNpcApothecary1		"I have found a potential new Apothecary, but we need to prove ourselves worthy. Find ##1## ##2##."

QuestAnnounceNewNpcSteward		"A potential new Steward has been found"
QuestTitleNewNpcSteward			"Recruit a new Steward"
QuestTextNewNpcSteward1			"I have found a potential new Steward, but we need to prove ourselves worthy. Find ##1## ##2## ##3##."

QuestAnnounceNewNpcArmorsmith		"A potential new Armorsmith has been found"
QuestTitleNewNpcArmorsmith		"Recruit a new Armorsmith"
QuestTextNewNpcArmorsmith1		"I have found a potential new Armorsmith, but we need to clear a path so that they can get here. Kill ##2## monsters in ##1## to clear a path."

QuestAnnounceNewNpcWeaponsmith		"A potential new Weaponsmith has been found"
QuestTitleNewNpcWeaponsmith		"Recruit a new Weaponsmith"
QuestTextNewNpcWeaponsmith1		"I have found a potential new Weaponsmith, but we need to clear a path so that they can get here. Kill ##2## monsters in ##1## to clear a path."

QuestAnnounceNewNpcVendor		"A potential new Vendor has been found"
