Reward				"Recompense"
QuestAnnounceRaid			"Des ##1## font une raid sur la ville !"
QuestAnnounceRaidFromBoss		"##2## a envoye ##1## faire un raid sur la ville !"
QuestAnnounceRaidFromUniqueMonsterSpotted		"##2## a envoye ##1## faire un raid sur la ville !"
QuestAnnounceRaidFromKillMonsterGroup		"Le groupe de ##2## a envoye ##1## faire un raid sur la ville !"
QuestAnnounceRaidFromUprising	"Des partisans d'un soulèvement de ##1## font un raid sur la ville !"
QuestAnnounceRaidFromMonsterScout	"éclaireur ##2## a fait entrer un raid sur ##1## !"
QuestAnnounceRaidFromWarAgainstBarbarians	"En raison de notre guerre avec les ##1##, ils font un raid sur la ville !"
QuestAnnounceRaidFromQuestMonsterGathering	"Des partisans d'un rassemblement de ##1## font un raid sur la ville !"
QuestAnnounceRaidFromQuestAreaOverrun		"Des ##1## de la zone envahie font un raid sur la ville !"
QuestAnnounceRaidFromQuestUprisingRaidPlan	"Ayant échoue a perturber le plan, les ##1## font un raid sur la ville !"
QuestAnnounceRaidFromQuestUprisingBase		"Depuis leur base opérations, les ##1## font un raid sur la ville !"
QuestAnnounceRaidFromQuestUniqueReconTotem	"Aides d'un totem de reconnaissance, les ##1## font un raid sur la ville !"
QuestAnnounceRaidFromQuestFindPlans1	"Nous avons échoue a découvrir leurs plans, et maintenant, les ##1## font un raid sur la ville !"
QuestAnnounceRaidFromQuestGetInfoRaid	"Nous avons échoue a découvrir leur plans, et maintenant les ##1## font un raid sur la ville !"
QuestAnnounceRaidFromQuestMonsterQuestBlackmail1	"Comme nous avojs refuse leur chantage, les ##1## font maintenant un raid sur la ville !"
QuestAnnounceRaidFromQuestMonsterQuestBase	"Depuis leur base secrète opérations, les ##1## font un raid sur la ville !"

QuestAnnounceInvasion			"Des ##1## envahissent la ville !"
QuestAnnounceInvasionFromBoss		"##2## a envoye des ##1## envahir la ville !"
QuestAnnounceInvasionFromUniqueMonsterSpotted		"##2## a envoye des ##1## envahir la ville !"
QuestAnnounceInvasionFromKillMonsterGroup		"Le groupe de ##2## a envoye des ##1## envahir la ville !"
QuestAnnounceInvasionFromUprising	"Des partisans d'un soulèvement de ##1## envahissent la ville !"
QuestAnnounceInvasionFromMonsterScout	"éclaireur ##2## a permis une invasion de ##1## !"
QuestAnnounceInvasionFromWarAgainstBarbarians	"En raison de la guerre avec les ##1##, ils envahissent la ville !"
QuestAnnounceInvasionFromQuestMonsterGathering	"Des partisans d'un rassemblement de monstres de ##1## envahissent la ville !"
QuestAnnounceInvasionFromQuestAreaOverrun		"Des ##1## de la zone occupée envahissent la ville !"
QuestAnnounceInvasionFromQuestUprisingBase		"Depuis leur base opérations, les ##1## envahissent la ville !"

QuestEventGateOut			"Les attaquants de la ville sont repartis."
QuestEventTownAttackTownAttack		"Attaque de ville coordonnée !"
QuestSuccessTownAttack			"L'attaque de la ville a été repoussée."

// Thief

QuestAnnounceThief			"Un voleur a été repere en ville en train de voler des objets aux marchands !"
QuestAnnounceThiefFromRenegade		"Le renégat ##1## a envoye un voleur en ville !"
QuestAnnounceThiefFromQuestUniqueReconTotem	"Aide d'un totem de reconnaissance, un voleur s'est introduit en ville !"

QuestTitleThief				"Voleuse"
QuestTextThief1				"Il y a une voleuse qui rode en ville, cambriolant les marchands.  Allez la tuer."
QuestTextThief2				"Une misérable voleuse vole les marchands.  Trouvez-la et tuez-la."
QuestTextThief3				"Une coquine de voleuse a vole l'amulette pour laquelle j'économisais !  Elle doit être arretee avant que les marchands n'aient plus rien.  Tuez-la."
QuestKilledThief			"La voleuse a été tuée."
QuestCovKillThief			"Le covenant ##1## a tue la voleuse."
QuestThiefItemsStolen			"La voleuse a vole ##1## objet##2## valant ##3## a ##4##."
QuestThiefDisappeared			"La voleuse a disparu."
QuestThiefWins				"La voleuse a vole ##1## objet##2## et a fui la ville !"

// Meeting

QuestAnnounceMeeting			"Entrevue entre ##1## et ##2## dans ##3##"
QuestAnnounceMeetingFromDelivery	"Nous avons découvert qu'il y a une entrevue entre ##1## et ##2## dans ##3##."

QuestTitleMeeting			"Rencontre entre ##1## et ##2##"
QuestTextMeeting1			"Nos éclaireurs rapportent qu'il y a une entrevue entre ##1## et ##2## dans ##3##. Si vous pouvez tuer les deux sans qu'un seul ne s'échappe, leurs espèces se retourneront l'une contre l'autre.  Si l'un des deux survit, ils nous déclareront vraisemblablement la guerre.  C'est un risque que nous souhaitons prendre.  Vous serez bien récompense si vous réussissez."
QuestTextMeeting2			"Il y a une entrevue entre ##1## et ##2## dans ##3##. Si vous parvenez a tuer les deux sans qu'un seul ne s'échappe, leurs peuples se retourneront l'un contre l'autre.  Si l'un des deux échappe, ils attaqueront vraisemblablement ville.  C'est risque, mais nécessaire.  Votre récompense sera grande lorsque vos réussirez."
QuestTextMeeting3			"Nous savons qu'il y a une rencontre entre ##1## et ##2## dans ##3##. Si vous parvenez a les tuer sans que l'un d'eux ne échappe, leurs races se retourneront l'une contre l'autre.  Si l'un d'eux échappe, ils feront vraisemblablement une descente sur la ville.  Nous devons prendre ce risque.  La récompense pour le succès en vaut la peine."

QuestTextMeetingTruce			"Nous savons qu'il y a une rencontre entre ##1## et ##2## dans ##3##. Ils essaient de négocier une trêve Si vous pouvez les tuer tous les deux, nous pourrons les garder en guerre un peu plus longtemps. Si l'un d'eux échappe, ils nous déclareront vraisemblablement la guerre."

// Uprising

QuestAnnounceUprising			"Un soulèvement de ##1## a eclate dans ##2##."
QuestAnnounceUprisingFromBoss		"##3## a déclenché un soulèvement de ##1## dans ##2##."
QuestAnnounceUprisingFromMonsterHunter	"Un chasseur ##3## a déclenché un soulèvement de ##1## dans ##2##."
QuestAnnounceUprisingFromUniqueMonsterSpotted		"##3## a declenche un soulèvement de ##1## dans ##2##."
QuestAnnounceUprisingFromKillMonsterGroup		"Le groupe de ##3## a declenche un soulèvement de ##1## dans ##2##."
QuestAnnounceUprisingFromWar		"Une guerre a conduit a un soulèvement de ##1## dans ##2##."
QuestAnnounceUprisingFromQuestUniqueGate	"Un portail maléfique a declenche un soulèvement de ##1## dans ##2##."
QuestAnnounceUprisingFromQuestDinArtifact	"Avoir détruit l'artefact maléfique a entraîne un soulèvement de ##1## dans ##2##."
QuestAnnounceUprisingFromQuestDinUniqueAltarErillin	"En raison de l'influence de l'Autel d'Erillin, un soulèvement de ##1## a eclate dans ##2##."
QuestAnnounceUprisingFromQuestDinUniqueAltarHamlec	"En raison de l'influence de l'Autel de Hamlec, un soulèvement de ##1## a eclate dans ##2##."
QuestAnnounceUprisingFromQuestDinUniqueAltarMortus	"En raison de l'influence de l'Autel de Mortus, un soulèvement de ##1## a eclate dans ##2##."
QuestAnnounceUprisingFromQuestDinUniqueAltarValta	"En raison de l'influence de l'Autel de Valta, un soulèvement de ##1## a eclate dans ##2##."

QuestTitleUprising			"Soulèvement de ##1##"
QuestTextUprising1			"Il y a eu un soulèvement de ##1##.  Allez vous charger d'eux avant qu'ils ne causent davantage de dégâts !"
QuestTextUprising2			"Un soulèvement de ##1## cause du grabuge.  Allez vous charger d'eux avant que nous perdions davantage de terrain !"
QuestTextUprising3			"Il y a un autre soulèvement ; cette fois ce sont des ##1##.  Allez vous charger d'eux avant qu'il ne soit trop tard !"

QuestEventUprisingDestroyed		"Un soulèvement de ##2## a été détruit par des ##1##s."

// Area Overrun

QuestAnnounceAreaOverrun		"##2## est maintenant envahi par les ##1##."
QuestTitleAreaOverrun			"Zone envahie par les ##1##"
QuestTextAreaOverrun			"##2## est maintenant envahi de ##1##.  Allez vous en charger avant que ça n'empire !"

// Monster Gathering

QuestAnnounceMonsterGathering		"Il y a un rassemblement de ##1## dans ##2##."
QuestTitleMonsterGathering		"Rassemblement de ##1##"
QuestTextMonsterGathering		"##1## se rassemblent dans ##2## pour une raison ou une autre. Ils doivent tramer quelque chose. Allez vous en charger avant que leur plan puisse prendre forme !"

// Monster Pre Gathering

QuestAnnounceMonsterPreGathering	"Augmentation des ##1## dans ##2##."
QuestTitleMonsterPreGathering		"Augmentation de la population de ##1##"
QuestTextMonsterPreGathering		"Il y a eu un influx de ##1## dans ##2##. Allez en tuer quelques uns avant qu'ils n'aient des idées."

// UprisingRaidPlan

QuestAnnounceUprisingRaidPlan		"Un soulèvement de ##1## prépare une attaque de la ville."
QuestTitleUprisingRaidPlan		"Attaque ##1## imminente de la ville"
QuestTextUprisingRaidPlan		"Un groupe de ##1## dans ##2## prépare une attaque de la ville. Allez les tuer avant qu'ils ne puissent nous attaquer."

QuestTextUprisingRaidPlanDin		"La ville ne le sait pas encore, mais un groupe de ##1## dans ##2## prépare une attaque de la ville. Allez les tuer avant qu'ils ne puissent attaquer la ville."

// UprisingTownAttackPlan

QuestAnnounceUprisingTownAttackPlan	"Un soulèvement de ##1## se prépare a attaquer la ville."
QuestAnnounceUprisingTownAttackPlanFromQuestFindPlans1	"Nous avons découvert qu'un soulèvement de ##1## prépare une attaque de la ville."

QuestTitleUprisingTownAttackPlan	"Attaque ##1## de la ville imminente"
QuestTextUprisingTownAttackPlan		"Un groupe de ##1## dans ##2## a l'intention d'attaquer la ville. Allez les tuer avant qu'ils puissent nous attaquer."

QuestTextUprisingTownAttackPlanDin	"La ville ne le sait pas encore, mais un groupe de ##1## dans ##2## prévoit d'attaquer la ville. Allez les tuer avant qu'ils puissent attaquer la ville."

// UprisingBase

QuestAnnounceUprisingBase		"Base ##1## des opérations découverte dans ##2##."
QuestTitleUprisingBase			"Base ##1## des opérations"
QuestTextUprisingBase			"Nous avons localise une base des opérations de ##1## dans ##2##. Ils ne sont pas terriblement organises a l'heure qu'il est. Allez les tuer avant qu'ils ne causent trop de grabuge."

// UprisingUndead

QuestTextUprisingUndead			"Les ##1## sont en train de répandre de plus en plus de morts-vivants dans ##2##. Allez vous en charger avant qu'ils n'infectent le monde entier !"

// Altar

QuestAnnounceUniqueAltar		"Découverte d'un autel maléfique"
QuestAnnounceUniqueAltarFromBoss	"##3## a erige un autel maléfique"
QuestAnnounceUniqueAltarFromUniqueMonsterSpotted	"##3## a erige un autel maléfique"
QuestAnnounceUniqueAltarFromKillMonsterGroup	"Le groupe de ##3## a erige un autel maléfique"
QuestAnnounceUniqueAltarFromQuestFindPlansAltar	"Nous avons échoue a découvrir les plans, et maintenant un autel maléfique a été erige."

QuestTitleUniqueAltar			"Détruire l'autel maléfique"
QuestTextUniqueAltar			"Nous avons découvert un autel utilise a des fins maléfiques dans ##2##. Il rend tous les monstres des alentours plus forts. Allez détruire l'autel."
QuestAnnounceAltarRevenge		"Le raid est une vengeance pour avoir détruit leur autel !"

QuestAnnounceUniqueAltarErillin		"Un autel a été erige pour servir la déesse Erillin."
QuestTitleUniqueAltarErillin		"Détruire l'autel d'Erillin"
QuestTextUniqueAltarErillin		"Un autel a été erige pour servir la déesse Erillin dans ##2## en rendant tous les monstres des alentours plus forts. La déesse de la Magie et les nagas ne s'arrêteront pas la. Vous devez détruire leur autel avant qu'elle ne gagne une mainmise plus forte."

QuestAnnounceUniqueAltarHamlec		"Un autel a été erige pour servir le dieu Hamlec."
QuestTitleUniqueAltarHamlec		"Détruire l'autel du dieu Hamlec"
QuestTextUniqueAltarHamlec		"Un autel a été erige pour servir le dieu Hamlec dans ##2##, rendant plus forts tous les monstres alentour. Les orcs vénèrent le dieu de la Destruction et son autel apportera davantage de terreur dans cette ville. Détruisez-le !"

QuestAnnounceUniqueAltarKracht		"Un autel a été erige pour servir le dieu Kracht."
QuestTitleUniqueAltarKracht		"Détruire l'autel de Kracht"
QuestTextUniqueAltarKracht		"Un autel au dieu Kracht a été erige dans ##2## pour rendre plus forts tous les monstres alentour. Le dieu de la Guerre ne doit pas être autorise a régner librement. Il faut que vous détruisiez cet autel."

QuestAnnounceUniqueAltarMortus		"Un autel a été erige pour servir le dieu Mortus."
QuestTitleUniqueAltarMortus		"Détruire l'autel du dieu Mortus"
QuestTextUniqueAltarMortus		"Un autel a été erige dans ##2## pour servir le dieu Mortus. Il rend plus forts tous les monstres alentour, et vous ne devez pas permettre au dieu de la Mort de miner notre travail. Allez détruire cet autel."

QuestAnnounceUniqueAltarValta		"Un autel a été erige pour servir la déesse Valta."
QuestTitleUniqueAltarValta		"Détruire l'autel de Valta"
QuestTextUniqueAltarValta		"Dans ##2##, un autel a été erige a la déesse Valta et rend plus forts tous les monstres alentour. La déesse du Chaos ne doit pas gagner un seul pas ici, sinon la ville est condamnée. Les elfes obscurs la suivent ou elle va. Vous devez arrêter cette corruption en détruisant son autel."

// AltarCurse

QuestAnnounceUniqueAltarCurse		"Découverte d'un autel maléfique qui maudit la zone."
QuestAnnounceUniqueAltarCurseFromBoss	"##3## a erige un autel maléfique qui maudit la zone."
QuestAnnounceUniqueAltarCurseFromUniqueMonsterSpotted	"##3## a erige un autel maléfique qui maudit la zone."
QuestAnnounceUniqueAltarCurseFromKillMonsterGroup	"Le groupe de ##3## a erige un autel maléfique qui maudit la zone."
QuestAnnounceUniqueAltarCurseFromQuestFindPlansAltarCurse	"Nous avons échoue à découvrir les plans, et maintenant un autel maléfique maudit la zone."

QuestTitleUniqueAltarCurse		"Lever la malédiction de l'autel maléfique"
QuestTextUniqueAltarCurse		"Nous avons découvert un autel utilise dans un but maléfique dans ##2##. Il maudit de plus en plus d'objets dans la zone. Allez détruire cet autel."

// MachineEarthquake

QuestAnnounceUniqueMachineEarthquake	"Découverte d'une machine a tremblements de terre."
QuestAnnounceUniqueMachineEarthquakeFromBoss	"##3## a construit une machine a tremblements de terre."
QuestAnnounceUniqueMachineEarthquakeFromUniqueMonsterSpotted	"##3## a construit une machine a tremblements de terre."
QuestAnnounceUniqueMachineEarthquakeFromKillMonsterGroup	"Le groupe de ##3## a construit une machine a tremblements de terre."
QuestAnnounceUniqueMachineEarthquakeFromQuestFindPlansMachineEarthquake	"Nous avons échoue a découvrir les plans, et maintenant une machine a tremblements de terre a été construite."
QuestAnnounceUniqueMachineEarthquakeFromQuestUniqueMachineDarkness	"En raison du succès de la machine a ténèbres, une machine a tremblements de terre a maintenant été fabriquée."
QuestAnnounceUniqueMachineEarthquakeFromQuestUniqueMachineWeather	"En raison du succès de la machine climatique, une machine a tremblements de terre a maintenant été construite."
QuestAnnounceUniqueMachineEarthquakeFromQuestDinUniqueAltarErillin	"En gage de vénération de l'autel d'Erillin, une machine a tremblements de terre a été construite."

QuestTitleUniqueMachineEarthquake	"Détruire la machine a tremblements de terre"
QuestTextUniqueMachineEarthquake	"Nous avons découvert une machine qui cause des tremblements de terre. Allez détruire cette machine."

// MachineDarkness

QuestAnnounceUniqueMachineDarkness	"Découverte d'une machine a ténèbres"
QuestAnnounceUniqueMachineDarknessFromBoss	"##3## a construit une machine a ténèbres"
QuestAnnounceUniqueMachineDarknessFromUniqueMonsterSpotted	"##3## a construit une machine a ténèbres"
QuestAnnounceUniqueMachineDarknessFromKillMonsterGroup		"Le groupe de ##3## a construit une machine a ténèbres"
QuestAnnounceUniqueMachineDarknessFromQuestFindPlansMachineEarthquake	"Nous avons échoue a découvrir les plans, et maintenant une machine a ténèbres a été construite."
QuestAnnounceUniqueMachineDarknessFromQuestUniqueMachineEarthquake	"En raison du succès de la machine a tremblements de terre, une machine a ténèbres a maintenant été construite."
QuestAnnounceUniqueMachineDarknessFromQuestUniqueMachineWeather	"En raison du succès de la machine climatique, une machine a ténèbres a maintenant été construite."
QuestAnnounceUniqueMachineDarknessFromQuestDinUniqueAltarErillin	"En gage de vénération a l'autel d'Erillin, une machine a ténèbres a été construite."

QuestTitleUniqueMachineDarkness		"Détruire la machine a ténèbres"
QuestTextUniqueMachineDarkness		"Nous avons découvert une machine qui cause les ténèbres dans toute la zone. La ville est bien plus vulnérable ainsi et la nourriture est beaucoup plus chère Allez détruire la machine."

// MachineWeather

QuestAnnounceUniqueMachineWeather	"Découverte d'une machine climatique."
QuestAnnounceUniqueMachineWeatherFromBoss	"##3## a construit une machine climatique."
QuestAnnounceUniqueMachineWeatherFromUniqueMonsterSpotted	"##3## a construit une machine climatique."
QuestAnnounceUniqueMachineWeatherFromKillMonsterGroup		"Le groupe de ##3## a construit une machine climatique."
QuestAnnounceUniqueMachineWeatherFromQuestFindPlansMachineEarthquake	"Nous avons échoue a découvrir les plans, et maintenant une machine climatique a été construite."
QuestAnnounceUniqueMachineWeatherFromQuestUniqueMachineEarthquake	"En raison du succès de la machine a tremblements de terre, une machine climatique a maintenant été construite."
QuestAnnounceUniqueMachineWeatherFromQuestUniqueMachineDarkness	"En raison du succès de la machine a ténèbres, une machine climatique a maintenant été construite."
QuestAnnounceUniqueMachineWeatherFromQuestDinUniqueAltarErillin	"En vénération de l'autel d'Erillin, une machine climatique a été construite."

QuestTitleUniqueMachineWeather		"Détruire la machine a climat"
QuestTextUniqueMachineWeather		"Nous avons découvert une machine qui cause le mauvais temps en ville. Pendant qu'elle fonctionne, la nourriture sera beaucoup plus chère Allez détruire la machine."

// Gate

QuestAnnounceUniqueGate			"On a découvert un portail maléfique"
QuestAnnounceUniqueGateFromBoss		"##3## a bâti un portail maléfique"
QuestAnnounceUniqueGateFromUniqueMonsterSpotted		"##3## a bâti un portail maléfique"
QuestAnnounceUniqueGateFromKillMonsterGroup		"Le groupe de ##3## a bâti un portail maléfique"
QuestAnnounceUniqueGateFromQuestFindPlansGate		"Nous avons échoue a découvrir les plans, et maintenant un portail maléfique a été bâti"

QuestTitleUniqueGate			"Détruire le portail maléfique"
QuestTextUniqueGate			"Nous avons découvert un portail qui a été installe par les forces du mal au-dessous de nous. Detruisez le portail avant qu'il ait le temps de nous apporter encore plus de monstres hideux."

// Recon totem

QuestAnnounceUniqueReconTotem		"Découverte d'un totem de reconnaissance."
QuestAnnounceUniqueReconTotemFromBoss	"##3## a construit un totem de reconnaissance."
QuestAnnounceUniqueReconTotemFromUniqueMonsterSpotted	"##3## a construit un totem de reconnaissance."
QuestAnnounceUniqueReconTotemFromKillMonsterGroup	"Le groupe de ##3## a construit un totem de reconnaissance."
QuestAnnounceUniqueReconTotemFromQuestFindPlansReconTotem	"Nous avons échoue a découvrir les plans, et maintenant un totem de reconnaissance a été construit."

QuestTitleUniqueReconTotem		"Détruire le totem de reconnaissance"
QuestTextUniqueReconTotem		"Nous avons découvert un totem de reconnaissance qui espionne la ville. Plus ils en savent sur la ville, plus ils auront de chances de nous attaquer de la même façon. Dépêchez-vous d'aller détruite ce totem de reconnaissance !"

// Unique monster spotted

QuestAnnounceUniqueMonsterSpotted	"##1## a été repere dans ##2##"
QuestAnnounceUniqueMonsterSpottedFromUprising	"Le soulèvement de ##3## a promu ##1## comme nouveau chef dans ##2## !"
QuestAnnounceUniqueMonsterSpottedFromQuestUniqueGate	"Un portail maléfique a fait entrer ##1## dans ##2## !"
QuestAnnounceUniqueMonsterSpottedFromQuestUniqueSummoning	"##3## a invoque ##1## dans ##2## !"

QuestTextUniqueMonsterSpotted1		"##1## a été repere.  Allez le tuer avant qu'il ne devienne plus dangereux !"
QuestTextUniqueMonsterSpotted2		"##1## est trop dangereux.  Il doit mourir !"
QuestTextUniqueMonsterSpotted3		"##1## a été vu dans les parages.  Tuez-le avant qu'il ne commence a faire du grabuge !"
QuestTextUniqueMonsterSpotted4		"##1## a été vu dans les environs.  Nous craignons que ça ne vaille rien de bon !"

QuestAnnounceReplacementUnique		"Il semble que ##1## gardait un autre monstre en ligne (in line)."
QuestAnnounceUpsetFollowers		"On dirait que tuer ##1## a contrarie certains de ses partisans."
QuestAnnounceUpsetFactions		"On dirait que tuer ##1## vient de déclencher une guerre."
QuestAnnounceGroupTakingAdvantage	"On dirait qu'un groupe tire profit de ce que ##1## a été tue."

// UniqueRaidPlan

QuestAnnounceUniqueRaidPlan		"##1## a des plans pour faire un raid sur la ville"
QuestTextUniqueRaidPlan			"##1## a des plans pour faire un raid sur la ville.  Allez le tuer avant qu'il ne le puisse !"

// UniqueTownAttackPlan

QuestAnnounceUniqueTownAttackPlan	"##1## a des plans pour attaquer la ville"
QuestTextUniqueTownAttackPlan		"##1## a des plans pour attaquer la ville.  Allez le tuer avant qu'il ne le puisse !"

// UniqueInvasionPlan

QuestAnnounceUniqueInvasionPlan		"##1## a des plans pour envahir la ville"
QuestTextUniqueInvasionPlan		"##1## a des plans pour envahir la ville.  Allez le tuer avant qu'il ne le puisse !"

// Bounty

QuestAnnounceUniqueBounty		"Prime pour ##1##"
QuestTextUniqueBounty			"Il y a une prime exceptionnelle pour ##1##.  Tuez ##3## pour rafler la récompense"

// UniqueBuildingSomething

QuestAnnounceUniqueBuildingSomething	"##1## est entrain de construire quelque chose"
QuestTextUniqueBuildingSomething	"Nous pensons que ##1## est en train de construire quelque chose dans les souterrains. Vous devez le tuer avant qu'il ne puisse l'achever !"

// UniqueBuildingGate

QuestAnnounceUniqueBuildingGate		"##1## est en train de construire un portail"
QuestTextUniqueBuildingGate		"##1## est en train de construire un portail. Vous devez le tuer avant qu'il ne puisse l'achever !"

// UniqueBuildingAltar

QuestAnnounceUniqueBuildingAltar	"##1## est en train de construire un autel"
QuestTextUniqueBuildingAltar		"##1## est en train de construire un autel. Vous devez le tuer avant qu'il ne puisse l'achever !"

// UniqueBuildingAltarCurse

QuestAnnounceUniqueBuildingAltarCurse	"##1## est en train de construire un autel maudit"
QuestTextUniqueBuildingAltarCurse	"##1## est en train de construire un autel maudit. Vous devez le tuer avant qu'il ne puisse l'achever !"

// UniqueBuildingReconTotem

QuestAnnounceUniqueBuildingReconTotem	"##1## est en train de construire un totem de reconnaissance"
QuestTextUniqueBuildingReconTotem	"##1## est en train de construire un totem de reconnaissance. Vous devez le tuer avant qu'il ne puisse l'achever !"

// UniqueBuildingMachineEarthquake

QuestAnnounceUniqueBuildingMachineEarthquake	"##1## est en train de construire une machine a tremblements de terre"
QuestAnnounceUniqueBuildingMachineEarthquakeFromQuestUniqueMachineDarkness	"En raison du succès de la machine a ténèbres, ##1## est en train de construire une machine a tremblements de terre"
QuestAnnounceUniqueBuildingMachineEarthquakeFromQuestUniqueMachineWeather	"En raison du succès de la machine climatique, ##1## est en train de construire une machine a tremblements de terre"

QuestTextUniqueBuildingMachineEarthquake	"##1## est en train de construire une machine a tremblements de terre. Vous devez le tuer avant qu'il ne puisse l'achever !"

// UniqueBuildingMachineDarkness

QuestAnnounceUniqueBuildingMachineDarkness	"##1## est en train de construire une machine a ténèbres"
QuestAnnounceUniqueBuildingMachineDarknessFromQuestUniqueMachineEarthquake	"En raison du succès de la machine a tremblements de terre, ##1## est en train de construire une machine a ténèbres"
QuestAnnounceUniqueBuildingMachineDarknessFromQuestUniqueMachineWeather		"En raison du succès de la machine climatique, ##1## est en train de construire une machine a ténèbres"

QuestTextUniqueBuildingMachineDarkness		"##1## est en train de construire une machine a ténèbres Vous devez le tuer avant qu'il ne puisse l'achever !"

// UniqueBuildingMachineWeather

QuestAnnounceUniqueBuildingMachineWeather	"##1## est en train de construire une machine climatique"
QuestAnnounceUniqueBuildingMachineWeatherFromQuestUniqueMachineEarthquake	"En raison du succès de la machine a tremblements de terre, ##1## est en train de construire une machine climatique"
QuestAnnounceUniqueBuildingMachineWeatherFromQuestUniqueMachineDarkness		"En raison du succès de la machine a ténèbres, ##1## est en train de construire une machine climatique"

QuestTextUniqueBuildingMachineWeather		"##1## est en train de construire une machine climatique. Vous devez le tuer avant qu'il ne puisse l'achever !"

// UniqueSummoning

QuestAnnounceUniqueSummoning		"##1## invoque plus de monstres"
QuestTextUniqueSummoning		"##1## invoque plus de monstres. Nous ignorons s'il causera des soulèvements de monstres ou invoquera de puissants monstres comme lui, mais de toute façon on doit arrêter !"

// UniqueBuildingArmy

QuestAnnounceUniqueBuildingArmy		"##1## est en train de réunir une armée"
QuestTextUniqueBuildingArmy		"##1## est en train de réunir une armée de monstres. Nous ne voulons pas savoir ce que ##1## va faire avec cette armée Allez le tuer immédiatement !"

// Peacemaker

QuestTextUniquePeacemaker		"Nous pensons que ##1## est un pacifiste et une guerre avec les monstres va éclater si vous le tuez."
QuestAnnouncePeacemakerDead		"##1## gardait la horde sous contrôle"

// Ambush

QuestAnnounceAmbush			"Ambuscade !"

// Kill monster group

QuestAnnounceKillMonsterGroup		"##1## a forme un groupe de monstres dans ##2##"
QuestTitleMonsterGroup			"Tuer le groupe de ##1##"
QuestTextKillMonsterGroup1		"##1## a forme un groupe de monstres. Allez les tuer avant qu'ils ne causent du grabuge."
QuestTextKillMonsterGroup2		"Un groupe de monstres suit maintenant ##1##. Vous devez les tuer avant qu'il ne causent du grabuge."
QuestTextKillMonsterGroup3		"##1## a rassemble un groupe de monstres. Ils vont causer du grabuge, a moins que vous ne les tuiez."
QuestProgressMonsterGroupFull		"Il reste ##1## monstre##2## en groupe a tuer.\n"
QuestProgressMonsterGroupPartial	"Avancée : Il reste ##1## monstre##2## en groupe a tuer.\n"
QuestEventGroupSplit			"Le groupe de monstres de ##1## s'est sépare"
QuestEventGroupAddedTo			"##2## a rejoint le groupe de monstres de ##1##"

// Kidnapping

QuestAnnounceKidnapping			"##1## a enleve ##2## !"
QuestAnnounceKidnappingFromMonsterScout	"A cause de éclaireur ##3##, ##1## a enleve ##2## !"

QuestTitleKindappingFailed		"Un villageois a été enleve"
QuestTitleKindapping			"##1## a été enleve"
QuestTextKidnappingFailed		"Un villageois a été enleve, et vous ne l'avez pas sauve !"
QuestTextKidnapping1			"##1## a enleve ##2##.  Allez ##3## secourir."
QuestTextKidnapping2			"Je n'arrive pas a croire que ##1## ait enleve ##2##.  Allez. Vous devez ##3## sauver."
QuestTextKidnapping3			"Ce maléfique ##1## a enleve ##2##.  Secourez ##3## si vous pouvez."
QuestKilledKidnapping			"##1## n'a pas été secouru(e) et est mort(e) !"
QuestMalePronounKidnapping		"le"
QuestFemalePronounKidnapping		"la"

// Hostage

QuestAnnounceHostage			"##1## a pris ##2## en otage !"
QuestTitleHostage			"##1## a été pris en otage"
QuestTextHostage			"##1## a pris ##2## en otage.  Allez ##3## secourir."

HostageQuestion				"J'exige que vous me payiez ##2## ou je tue ##1##"
HostageAnswer1				"Payer la rançon"
HostageAnswer2				"Refuser l'exigence"

// Level items

QuestAnnounceLevelQuestItem		"La ville a besoin de davantage de ##1##"
QuestAnnounceLevelQuestItemFromScoutLocation	"Maintenant que la zone a été repérée, la ville a besoin de davantage de ##1##"

QuestTitleLevelQuestItem		"Rassembler ##1## ##2##"
QuestTextLevelQuestItem1		"La ville manque de provisions. Rassemblez ##1## ##2##.  Vous pouvez trouver des ##2## sur le sol dans ##5##."
QuestTextLevelQuestItem2		"la ville a besoin de davantage de ressources. Ramassez ##1## ##2## sur le sol dans ##5##."
QuestTextLevelQuestItem3		"Notre ville a besoin de certains stock. Veuillez trouver ##1## ##2##, probablement dans ##5##."
QuestTextLevelQuestItem4		"Nous sommes a court de certaines ressources grandement requises mais elles sont bien trop dangereuses a rassembler  pour la plupart d'entre nous.  Veuillez rassembler ##1## ##2##.  Vous en trouverez dans ##5##."
QuestTextArmorsmithLevelQuestItem1	"Je manque de ressources. Ramenez-moi ##1## ##2##.  Vous pouvez trouver des ##2## sur le sol dans ##5##."
QuestTextArmorsmithLevelQuestItem2	"J'ai besoin de davantage de matériaux Ramenez-moi ##1## ##2##.  Ramassez les ##2## sur le sol dans ##5##."
QuestTextArmorsmithLevelQuestItem3	"Vous etes justement celui que je cherchais ! S'il-vous-plait, ramenez-moi ##1## ##2##, situes le plus vraisemblablement sur le sol dans ##5##."
QuestTextWeaponsmithLevelQuestItem1	"Je manque de ressources. Ramenez-moi ##1## ##2##.  Vous pourrez trouver des ##2## par terre dans ##5##."
