
RarityNormal				"Normal"
ClothGloves				"Cloth Gloves"
QuiltedGloves				"Quilted Gloves"
WoolGloves				"Wool Gloves"
ThickClothGloves			"Thick Cloth Gloves"
BrennasGloves				"Brenna's Gloves"
DameksGloves				"Damek's Gloves"
BattlemageGloves			"Battlemage Gloves"
Flametouch				"Flametouch"
WovenGloves				"Woven Gloves"
KnittedGloves				"Knitted Gloves"
PaddedGloves				"Padded Gloves"
LinenGloves				"Linen Gloves"
CanvasGloves				"Canvas Gloves"
RussetGloves				"Russet Gloves"
FlaxGloves				"Flax Gloves"
GarbadineGloves				"Garbadine Gloves"
FustianGloves				"Fustian Gloves"
GossamerGloves				"Gossamer Gloves"
SilkGloves				"Silk Gloves"
SpidersilkGloves			"Spidersilk Gloves"
RavensGloves				"Raven's Gloves"
Frosttouch				"Frosttouch"
Hellfire				"Hellfire"
RighteousMight				"Righteous Might"
ToresGloves				"Tore's Gloves"
YuxisGloves				"Yuxi's Gloves"

SoftLeatherGloves			"Soft Leather Gloves"
LeatherGloves				"Leather Gloves"
BuckskinGloves				"Buckskin Gloves"
HardLeatherGloves			"Hard Leather Gloves"
Greed					"Greed"
StuddedLeatherGloves			"Studded Leather Gloves"
RawhideGloves				"Rawhide Gloves"
RoughLeatherGloves			"Rough Leather Gloves"
TannedLeatherGloves			"Tanned Leather Gloves"
CuredLeatherGloves			"Cured Leather Gloves"
CrocodileHideGloves			"Crocodile Hide Gloves"
ReinforcedLeatherGloves			"Reinforced Leather Gloves"
SerpentskinGloves			"Serpentskin Gloves"
OgreHideGloves				"Ogre Hide Gloves"
GiantHideGloves				"Giant Hide Gloves"
BasiliskHideGloves			"Basilisk Hide Gloves"
DragonhideGloves			"Dragonhide Gloves"
DrelsGloves				"Drel's Gloves"
AversionsGloves				"Aversion's Gloves"
OblivionGloves				"Oblivion Gloves"
Thunderfist				"Thunderfist"
DinsWrath				"Din's Wrath"
DegolsGloves				"Degol's Gloves"

RingMailGloves				"Ring Mail Gloves"
BronzeScaleGloves			"Bronze Scale Gloves"
LightChainGloves			"Light Chain Gloves"
ScaleMailGloves				"Scale Mail Gloves"
ChainMailGloves				"Chain Mail Gloves"
SplintMailGloves			"Splint Mail Gloves"
SteelChainGloves			"Steel Chain Gloves"
BrigandineGloves			"Brigandine Gloves"
FortifiedChainGauntlets			"Fortified Chain Gauntlets"
DoubleMailGauntlets			"Double Mail Gauntlets"
BandedArmorGauntlets			"Banded Armor Gauntlets"
BoneScaleGauntlets			"Bone Scale Gauntlets"
IvoryScaleGauntlets			"Ivory Scale Gauntlets"
TurtleScaleGauntlets			"Turtle Scale Gauntlets"
ScorpionScaleGauntlets			"Scorpion Scale Gauntlets"
DragonscalGauntlets			"Dragonscale Gauntlets"
BevansGauntlets				"Bevan's Gauntlets"
LulansGloves				"Lulan's Gloves"
RettersGauntlets			"Retter's Gauntlets"
ShankarsGauntlets			"Shankar's Gauntlets"
SureStrike				"Sure Strike"
Ironfist				"Ironfist"
FistofDoom				"Fist of Doom"
ThadensTemper				"Thaden's Temper"

LightPlateGauntlets			"Light Plate Gauntlets"
CopperPlateGauntlets			"Copper Plate Gauntlets"
FieldPlateGauntlets			"Field Plate Gauntlets"
BronzePlateGauntlets			"Bronze Plate Gauntlets"
PlateArmorGauntlets			"Plate Armor Gauntlets"
FullPlateGauntlets			"Full Plate Gauntlets"
SteelPlateGauntlets			"Steel Plate Gauntlets"
EmbossedPlateGauntlets			"Embossed Plate Gauntlets"
GothicPlateGauntlets			"Gothic Plate Gauntlets"
CrusaderPlateGauntlets			"Crusader Plate Gauntlets"
QuicksilverGauntlets			"Quicksilver Gauntlets"
MithrilGauntlets			"Mithril Gauntlets"
AdamantiumGauntlets			"Adamantium Gauntlets"
SvensGauntlets				"Sven's Gauntlets"
SkaddsGauntlets				"Skadd's Gauntlets"
DraaiensGauntlets			"Draaien's Gauntlets"
BurningTouch				"Burning Touch"
Stormfist				"Stormfist"
Fury					"Fury"
AzarsGauntlets				"Azar's Gauntlets"

ClothLeggings				"Cloth Leggings"
QuiltedLeggings				"Quilted Leggings"
WoolLeggings				"Wool Leggings"
ThickClothLeggings			"Thick Cloth Leggings"
BattlemageLeggings			"Battlemage Leggings"
WovenLeggings				"Woven Leggings"
KnittedLeggings				"Knitted Leggings"
PaddedLeggings				"Padded Leggings"
LinenLeggings				"Linen Leggings"
CanvasLeggings				"Canvas Leggings"
RussetLeggings				"Russet Leggings"
FlaxLeggings				"Flax Leggings"
GarbadineLeggings			"Garbadine Leggings"
FustianLeggings				"Fustian Leggings"
GossamerLeggings			"Gossamer Leggings"
SilkLeggings				"Silk Leggings"
SpidersilkLeggings			"Spidersilk Leggings"
FusesLeggings				"Fuse's Leggings"
DameksLeggings				"Damek's Leggings"
EeanleesLeggings			"Eeanlee's Leggings"
RavensLeggings				"Raven's Leggings"
Mageweave				"Mageweave"
WitchBurn				"Witch Burn"
VrullsLeggings				"Vrull's Leggings"

SoftLeatherLeggings			"Soft Leather Leggings"
LeatherLeggings				"Leather Leggings"
BuckskinLeggings			"Buckskin Leggings"
HardLeatherLeggings			"Hard Leather Leggings"
ToversLeggings				"Tover's Leggings"
StuddedLeatherLeggings			"Studded Leather Leggings"
RawhideLeggings				"Rawhide Leggings"
RoughLeatherLeggings			"Rough Leather Leggings"
TannedLeatherLeggings			"Tanned Leather Leggings"
CuredLeatherLeggings			"Cured Leather Leggings"
CrocodileHideLeggings			"Crocodile Hide Leggings"
ReinforcedLeatherLeggings		"Reinforced Leather Leggings"
SerpentskinLeggings			"Serpentskin Leggings"
OgreHideLeggings			"Ogre Hide Leggings"
GiantHideLeggings			"Giant Hide Leggings"
BasiliskHideLeggings			"Basilisk Hide Leggings"
DragonhideLeggings			"Dragonhide Leggings"
DezsLeggings				"Dez's Leggings"
Dakar					"Dakar"
Forsaken				"Forsaken"
Blackbane				"Blackbane"
GizlinsLeggings				"Gizlin's Leggings"
TurensLeggings				"Turen's Leggings"

RingMailGreaves				"Ring Mail Greaves"
BronzeScaleGreaves			"Bronze Scale Greaves"
LightChainGreaves			"Light Chain Greaves"
ScaleMailGreaves			"Scale Mail Greaves"
StormguardGreaves			"Stormguard Greaves"
ChainMailGreaves			"Chain Mail Greaves"
SplintMailGreaves			"Splint Mail Greaves"
SteelChainGreaves			"Steel Chain Greaves"
BrigandineGreaves			"Brigandine Greaves"
FortifiedChainGreaves			"Fortified Chain Greaves"
DoubleMailGreaves			"Double Mail Greaves"
BandedArmorGreaves			"Banded Armor Greaves"
BoneScaleGreaves			"Bone Scale Greaves"
IvoryScaleGreaves			"Ivory Scale Greaves"
TurtleScaleGreaves			"Turtle Scale Greaves"
ScorpionScaleGreaves			"Scorpion Scale Greaves"
DragonscaleGreaves			"Dragonscale Greaves"
BevansGreaves				"Bevan's Greaves"
LulansGreaves				"Lulan's Greaves"
RettersGreaves				"Retter's Greaves"
ShankarsGreaves				"Shankar's Greaves"
VirititysBinding			"Viritity's Binding"
HolyMight				"Holy Might"
MalosGreaves				"Malos Greaves"
NequamsGreaves				"Nequam's Greaves"

LightPlateLegplates			"Light Plate Legplates"
ImprerialGreaves			"Imperial Greaves"
CopperPlateLegplates			"Copper Plate Legplates"
FieldPlateLegplates			"Field Plate Legplates"
BronzePlateLegplates			"Bronze Plate Legplates"
PlateArmorLegplates			"Plate Armor Legplates"
FullPlateLegplates			"Full Plate Legplates"
SteelPlateLegplates			"Steel Plate Legplates"
EmbossedPlateLegplates			"Embossed Plate Legplates"
GothicPlateLegplates			"Gothic Plate Legplates"
CrusaderPlateLegplates			"Crusader Plate Legplates"
QuicksilverLegplates			"Quicksilver Legplates"
MithrilLegplates			"Mithril Legplates"
AdamantiumLegplates			"Adamantium Legplates"
SvensLegplates				"Sven's Legplates"
DraaiensLegplates			"Draaien's Legplates"
DivineLight				"Divine Light"
Justice					"Justice"
VakoilsLegplates			"Vakoil's Legplates"

GuardItem				"Guard Item"

ClothCap				"Cloth Cap"
ArticBreeze				"Arctic Breeze"
QuiltedCap				"Quilted Cap"
WoolCap					"Wool Cap"
ThickClothCap				"Thick Cloth Cap"
WovenCap				"Woven Cap"
KnittedCowl				"Knitted Cowl"
PaddedCowl				"Padded Cowl"
LinenCowl				"Linen Cowl"
CanvasCowl				"Canvas Cowl"
RussetCowl				"Russet Cowl"
FlaxHood				"Flax Hood"
GarbadineHood				"Garbadine Hood"
FustianHood				"Fustian Hood"
GossamerHood				"Gossamer Hood"
SilkHood				"Silk Hood"
SpidersilkHood				"Spidersilk Hood"
BrennasCap				"Brenna's Cap"
DameksCap				"Damek's Cap"
SpiderMaw				"Spider Maw"
GrimHelm				"Grim Helm"
Vorlock					"Vorlock"

SoftLeatherCap				"Soft Leather Cap"
LeatherCap				"Leather Cap"
BuckskinCap				"Buckskin Cap"
HardLeatherCap				"Hard Leather Cap"
StuddedLeatherCap			"Studded Leather Cap"
RawhideCap				"Rawhide Cap"
RoughLeatherCap				"Rough Leather Cap"
TannedLeatherHelm			"Tanned Leather Helm"
CuredLeatherHelm			"Cured Leather Helm"
CrocodileHideHelm			"Crocodile Hide Helm"
ReinforcedLeatherHelm			"Reinforced Leather Helm"
SerpentskinHelm				"Serpentskin Helm"
OgreHideHelm				"Ogre Hide Helm"
GiantHideHelm				"Giant Hide Helm"
BasiliskHideHelm			"Basilisk Hide Helm"
DragonhideHelm				"Dragonhide Helm"
DrelsHelm				"Drel's Helm"
DezsCap					"Dez's Cap"
AssassinHood				"Assassin Hood"
OblivionHelm				"Oblivion Helm"
HoodoftheShadows			"Hood of the Shadows"
BlixtsDisguise				"Blixt's Disguise"

RingMailCoif				"Ring Mail Coif"
DemonHorns				"Demon Horns"
BronzeScaleCoif				"Bronze Scale Coif"
LightChainCoif				"Light Chain Coif"
ScaleMailCoif				"Scale Mail Coif"
ChainMailCoif				"Chain Mail Coif"
SplintMailCoif				"Splint Mail Coif"
SteelChainCoif				"Steel Chain Coif"
BrigandineCoif				"Brigandine Coif"
FortifiedChainHelmet			"Fortified Chain Helmet"
DoubleMailHelmet			"Double Mail Helmet"
BandedArmorHelmet			"Banded Armor Helmet"
BoneScaleHelmet				"Bone Scale Helmet"
IvoryScaleHelmet			"Ivory Scale Helmet"
TurtleScaleHelmet			"Turtle Scale Helmet"
ScorpionScaleHelmet			"Scorpion Scale Helmet"
DragonscaleHelmet			"Dragonscale Helmet"
BevansHelmet				"Bevan's Helmet"
LulansCoif				"Lulan's Coif"
GretasCoif				"Greta's Coif"
ShankarsHelmet				"Shankar's Helmet"
BlackguardHelm				"Blackguard Helm"
SacredHelm				"Sacred Helm"
ValiantHelm				"Valiant Helm"
TheGladiator				"The Gladiator"
MalosHelmet				"Malos Helmet"
OvladsHelmet				"Ovlad's Helmet"

LightPlateHelmet			"Light Plate Helmet"
MudbeardsHelmet				"Mudbeard's Helmet"
TheCorinthian				"The Corinthian"
CopperPlateHelmet			"Copper Plate Helmet"
FieldPlateHelmet			"Field Plate Helmet"
BronzePlateHelmet			"Bronze Plate Helmet"
PlateArmorHelmet			"Plate Armor Helmet"
FullPlateHelmet				"Full Plate Helmet"
SteelPlateHelmet			"Steel Plate Helmet"
EmbossedPlateHelmet			"Embossed Plate Helmet"
GothicPlateHelmet			"Gothic Plate Helmet"
CrusaderPlateHelmet			"Crusader Plate Helmet"
QuicksilverHelmet			"Quicksilver Helmet"
MithrilHelmet				"Mithril Helmet"
AdamantiumHelmet			"Adamantium Helmet"
SvensHelmet				"Sven's Helmet"
SkaddsHelmet				"Skadd's Helmet"
DraaiensHelmet				"Draaien's Helmet"
Morion					"Morion"
Maximilian				"Maximilian"
Steelskull				"Steelskull"
ImperialHelmet				"Imperial Helmet"
AzarsHelmet				"Azar's Helmet"

Jewelry					"Jewelry"
CigliosCharm				"Ciglio's Charm"
StoneHeart				"Stone Heart"
FireWard				"Fire Ward"
IceWard					"Ice Ward"
FusesCharm				"Fuse's Charm"
AversionsCharm				"Aversion's Charm"
GoodLuckCharm				"Good Luck Charm"
BlazingOrb				"Blazing Orb"
PoisonWard				"Poison Ward"
LightningWard				"Lightning Ward"
Bloodstone				"Bloodstone"
Karma					"Karma"
Brimstone				"Brimstone"
Hope					"Hope"
Catspaw					"Catspaw"
GreatTaboo				"Great Taboo"
Eyeforaneye				"Eye for an eye"
ArilynviasBless				"Arilynvia's Bless"
ThadensThunder				"Thaden's Thunder"
DinsCrow				"Din's Crow"
GarripsCharm				"Garrip's Charm"
GarripsStone				"Garrip's Stone"

OnehandedMace				"One-handed Mace"
Club					"Club"
SpikedClub				"Spiked Club"
Mace					"Mace"
Backbreaker				"Backbreaker"
Bonecrusher				"Bonecrusher"
MorningStar				"Morning Star"
Flail					"Flail"
Warclub					"War club"
FlangedMace				"Flanged Mace"
Cudgel					"Cudgel"
StuddedMace				"Studded Mace"
DoubleFlail				"Double Flail"
Stormhammer				"Stormhammer"
Chirmu					"Chirmu"
Rocksmasher				"Rocksmasher"
Pulverizer				"Pulverizer"
Stoneshatter				"Stoneshatter"
Earthshaker				"Earthshaker"
LulansFlail				"Lulan's Flail"
FireElementalMaul			"Fire Elemental Maul"
SkeletonSmasher				"Skeleton Smasher"
ShadowSlayer				"Shadow Slayer"
RagnarRouter				"Ragnar Router"
ChangelingCrusher			"Changeling Crusher"
GiantSpiderSmasher			"Spider Smasher"

TwohandedMace				"Two-handed Mace"
Hammer					"Hammer"
Mallet					"Mallet"
Maul					"Maul"
Bonebreaker				"Bonebreaker"
ThunderMaul				"Thunder Maul"
Martel					"Martel"
WarHammer				"War Hammer"
WarMallet				"War Mallet"
WarMaul					"War Maul"
WarMartel				"War Martel"
GiantHammer				"Giant Hammer"
GiantMallet				"Giant Mallet"
GiantMaul				"Giant Maul"
GiantMartel				"Giant Martel"
Darkhammer				"Darkhammer"
Grimmaul				"Grimmaul"
Nightbrood				"Nightbrood"
Skullcrusher				"Skullcrusher"
Bloodcraze				"Bloodcraze"
ShankarsFlail				"Shankar's Flail"
MudbeardsHammer				"Mudbeard's Hammer"
ZornsHammer				"Zorn's Hammer"
HulkHammer				"Hulk Hammer"

Necklace				"Necklace"
BrennasAmulet				"Brenna's Amulet"
Tempest					"Tempest"
MedallionofClavros			"Medallion of Clavros"
FusesAmulet				"Fuse's Amulet"
RettersAmulet				"Retter's Amulet"
SvensAmulet				"Sven's Amulet"
DelicateKiss				"Delicate Kiss"
Frostpain				"Frostpain"
OpulentAmulet				"Opulent Amulet"
Sunbeam					"Sunbeam"
AmuletofWounding			"Amulet of Wounding"
SilverCrescent				"Silver Crescent"
DinsEye					"Din's Eye"
ShankarsGoldenFalconAmulet		"Shankar's Golden Falcon Amulet"
EmberNecklace				"Ember"
NequamsAmulet				"Nequam's Amulet"
RiditsNecklace				"Ridit's Necklace"
CriarsNecklace				"Criar's Necklace"

TumblerMinorColdResistance		"Tumbler of Minor Cold Resistance"
VialMinorColdResistance			"Vial of Minor Cold Resistance"
FlaskMinorColdResistance		"Flask of Minor Cold Resistance"
TumblerLesserColdResistance		"Tumbler of Lesser Cold Resistance"
VialLesserColdResistance		"Vial of Lesser Cold Resistance"
FlaskLesserColdResistance		"Flask of Lesser Cold Resistance"
TumblerColdResistance			"Tumbler of Cold Resistance"
VialColdResistance			"Vial of Cold Resistance"
FlaskColdResistance			"Flask of Cold Resistance"
TumblerGreaterColdResistance		"Tumbler of Greater Cold Resistance"
VialGreaterColdResistance		"Vial of Greater Cold Resistance"
FlaskGreaterColdResistance		"Flask of Greater Cold Resistance"
TumblerMajorColdResistance		"Tumbler of Major Cold Resistance"
VialMajorColdResistance			"Vial of Major Cold Resistance"
FlaskMajorColdResistance		"Flask of Major Cold Resistance"

TumblerMinorFireResistance		"Tumbler of Minor Fire Resistance"
VialMinorFireResistance			"Vial of Minor Fire Resistance"
FlaskMinorFireResistance		"Flask of Minor Fire Resistance"
TumblerLesserFireResistance		"Tumbler of Lesser Fire Resistance"
VialLesserFireResistance		"Vial of Lesser Fire Resistance"
FlaskLesserFireResistance		"Flask of Lesser Fire Resistance"
TumblerFireResistance			"Tumbler of Fire Resistance"
VialFireResistance			"Vial of Fire Resistance"
FlaskFireResistance			"Flask of Fire Resistance"
TumblerGreaterFireResistance		"Tumbler of Greater Fire Resistance"
VialGreaterFireResistance		"Vial of Greater Fire Resistance"
FlaskGreaterFireResistance		"Flask of Greater Fire Resistance"
TumblerMajorFireResistance		"Tumbler of Major Fire Resistance"
VialMajorFireResistance			"Vial of Major Fire Resistance"
FlaskMajorFireResistance		"Flask of Major Fire Resistance"

TumblerMinorLightningResistance		"Tumbler of Minor Lightning Resistance"
VialMinorLightningResistance		"Vial of Minor Lightning Resistance"
FlaskMinorLightningResistance		"Flask of Minor Lightning Resistance"
TumblerLesserLightningResistance	"Tumbler of Lesser Lightning Resistance"
VialLesserLightningResistance		"Vial of Lesser Lightning Resistance"
FlaskLesserLightningResistance		"Flask of Lesser Lightning Resistance"
TumblerLightningResistance		"Tumbler of Lightning Resistance"
VialLightningResistance			"Vial of Lightning Resistance"
FlaskLightningResistance		"Flask of Lightning Resistance"
TumblerGreaterLightningResistance	"Tumbler of Greater Lightning Resistance"
VialGreaterLightningResistance		"Vial of Greater Lightning Resistance"
FlaskGreaterLightningResistance		"Flask of Greater Lightning Resistance"
TumblerMajorLightningResistance		"Tumbler of Major Lightning Resistance"
VialMajorLightningResistance		"Vial of Major Lightning Resistance"
FlaskMajorLightningResistance		"Flask of Major Lightning Resistance"

TumblerMinorMagicResistance		"Tumbler of Minor Magic Resistance"
VialMinorMagicResistance		"Vial of Minor Magic Resistance"
FlaskMinorMagicResistance		"Flask of Minor Magic Resistance"
TumblerLesserMagicResistance		"Tumbler of Lesser Magic Resistance"
VialLesserMagicResistance		"Vial of Lesser Magic Resistance"
FlaskLesserMagicResistance		"Flask of Lesser Magic Resistance"
TumblerMagicResistance			"Tumbler of Magic Resistance"
VialMagicResistance			"Vial of Magic Resistance"
FlaskMagicResistance			"Flask of Magic Resistance"
TumblerGreaterMagicResistance		"Tumbler of Greater Magic Resistance"
VialGreaterMagicResistance		"Vial of Greater Magic Resistance"
FlaskGreaterMagicResistance		"Flask of Greater Magic Resistance"
TumblerMajorMagicResistance		"Tumbler of Major Magic Resistance"
VialMajorMagicResistance		"Vial of Major Magic Resistance"
FlaskMajorMagicResistance		"Flask of Major Magic Resistance"

TumblerMinorPoisonResistance		"Tumbler of Minor Poison Resistance"
VialMinorPoisonResistance		"Vial of Minor Poison Resistance"
FlaskMinorPoisonResistance		"Flask of Minor Poison Resistance"
TumblerLesserPoisonResistance		"Tumbler of Lesser Poison Resistance"
VialLesserPoisonResistance		"Vial of Lesser Poison Resistance"
FlaskLesserPoisonResistance		"Flask of Lesser Poison Resistance"
TumblerPoisonResistance			"Tumbler of Poison Resistance"
VialPoisonResistance			"Vial of Poison Resistance"
FlaskPoisonResistance			"Flask of Poison Resistance"
TumblerGreaterPoisonResistance		"Tumbler of Greater Poison Resistance"
VialGreaterPoisonResistance		"Vial of Greater Poison Resistance"
FlaskGreaterPoisonResistance		"Flask of Greater Poison Resistance"
TumblerMajorPoisonResistance		"Tumbler of Major Poison Resistance"
VialMajorPoisonResistance		"Vial of Major Poison Resistance"
FlaskMajorPoisonResistance		"Flask of Major Poison Resistance"

HealthPotionDesc			"Expensive way to instantly regain health"
TumblerMinorHealing			"Tumbler of Minor Healing"
VialMinorHealing			"Vial of Minor Healing"
FlaskMinorHealing			"Flask of Minor Healing"
TumblerLesserHealing			"Tumbler of Lesser Healing"
VialLesserHealing			"Vial of Lesser Healing"
FlaskLesserHealing			"Flask of Lesser Healing"
TumblerHealing				"Tumbler of Healing"
VialHealing				"Vial of Healing"
FlaskHealing				"Flask of Healing"
TumblerGreaterHealing			"Tumbler of Greater Healing"
VialGreaterHealing			"Vial of Greater Healing"
FlaskGreaterHealing			"Flask of Greater Healing"
TumblerMajorHealing			"Tumbler of Major Healing"
VialMajorHealing			"Vial of Major Healing"
FlaskMajorHealing			"Flask of Major Healing"

ManaPotionDesc				"Expensive way to instantly regain mana"
TumblerMinorManaPotion			"Tumbler of Minor Mana Potion"
VialMinorManaPotion			"Vial of Minor Mana Potion"
FlaskMinorManaPotion			"Flask of Minor Mana Potion"
TumblerLesserManaPotion			"Tumbler of Lesser Mana Potion"
VialLesserManaPotion			"Vial of Lesser Mana Potion"
FlaskLesserManaPotion			"Flask of Lesser Mana Potion"
TumblerManaPotion			"Tumbler of Mana Potion"
VialManaPotion				"Vial of Mana Potion"
FlaskManaPotion				"Flask of Mana Potion"
TumblerGreaterManaPotion		"Tumbler of Greater Mana Potion"
VialGreaterManaPotion			"Vial of Greater Mana Potion"
FlaskGreaterManaPotion			"Flask of Greater Mana Potion"
TumblerMajorManaPotion			"Tumbler of Major Mana Potion"
VialMajorManaPotion			"Vial of Major Mana Potion"
FlaskMajorManaPotion			"Flask of Major Mana Potion"

MonsterQuestItem			"Monster Quest Item"
LevelQuestItem				"Level Quest Item"
Soulstone				"Soulstone"
TreasureMap				"Treasure Map"
TreasureMapDesc				"This looks like a map to buried treasure"
RescueNote				"Rescue Note"
RescueNoteDesc				"This appears to be a rescue note"
Plans					"Plans"
PlansDesc				"This looks like someone is planning something bad"
DeathJournal				"Death Journal"
DeathJournalDesc			"This looks like the journal of someone's death"
ArmorRecipe				"Armor Directions"
ArmorRecipeDesc				"This looks like the directions on how to build armor"
ArmorRecipe				"Weapon Directions"
ArmorRecipeDesc				"This looks like the directions on how to build weapon"

Relic					"Relic"
RelicDesc				"When equipped relics effect all covenant members"

Ring					"Ring"
CigliosGoldRing				"Ciglio's Gold Ring"
CigliosSilverRing			"Ciglio's Silver Ring"
Paragon					"Paragon"
FusesRing				"Fuse's Ring"
DrelsRing				"Drel's Ring"
LulansRing				"Lulan's Ring"
SvensGoldRing				"Sven's Gold Ring"
SvensSilverRing				"Sven's Silver Ring"
Shadowblaze				"Shadowblaze"
RingofAbsorption			"Ring of Absorption"
OrnateRing				"Ornate Ring"
RuneoftheBrothers			"Rune of the Brothers"
ViedonnasKiss				"Viedonna's Kiss"
YuxisRing				"Yuxi's Ring"
FrysesWhiteRing				"Fryse's White Ring"
FrysesBlueRing				"Fryse's Blue Ring"
CriarsRing				"Criar's Ring"

Ciglios					"Ciglio's"
Fuses					"Fuse's"
Bevans					"Bevan's"
Brennas					"Brenna's"
Dameks					"Damek's"
Eeanlees				"Eeanlee's"
Ravens					"Raven's"
Drels					"Drel's"
Tovers					"Tover's"
Dezs					"Dez's"
Aversions				"Aversion's"
Aleks					"Alek's"
Lulans					"Lulan's"
Gretas					"Greta's"
Retters					"Retter's"
Shankars				"Shankar's"
Mudbeards				"Mudbeard's"
Svens					"Sven's"
Skadds					"Skadd's"
Draaiens				"Draaien's"
Turens					"Turen's"

WoodenShield				"Wooden Shield"
Buckler					"Buckler"
Targe					"Targe"
AleksShield				"Alek's Shield"
Defender				"Defender"
SmallShield				"Small Shield"
LargeShield				"Large Shield"
KiteShield				"Kite Shield"
Heater					"Heater"
TowerShield				"Tower Shield"
Pavis					"Pavis"
Scutum					"Scutum"
BayeauxShield				"Bayeaux Shield"
CrusaderShield				"Crusader Shield"
TemplarShield				"Templar Shield"
RettersShield				"Retter's Shield"
Protector				"Protector"
Sentry					"Sentry"
Judgement				"Judgement"
Eclipse					"Eclipse"
Nemesis					"Nemesis"
Aegis					"Aegis"
CrescentMoon				"Crescent Moon"
DinsHonor				"Din's Honor"

ClothMantle				"Cloth Mantle"
QuiltedMantle				"Quilted Mantle"
WoolMantle				"Wool Mantle"
BrennasMantle				"Brenna's Mantle"
Blazen					"Blazen"
ThickClothMantle			"Thick Cloth Mantle"
WovenMantle				"Woven Mantle"
KnittedMantle				"Knitted Mantle"
PaddedMantle				"Padded Mantle"
LinenMantle				"Linen Mantle"
CanvasShoulders				"Canvas Shoulders"
RussetShoulders				"Russet Shoulders"
FlaxShoulders				"Flax Shoulders"
GarbadineShoulders			"Garbadine Shoulders"
FustianShoulders			"Fustian Shoulders"
GossamerShoulders			"Gossamer Shoulders"
SilkShoulders				"Silk Shoulders"
SpidersilkShoulders			"Spidersilk Shoulders"
Frostweave				"Frostweave"
Blizzard				"Blizzard"

SoftLeatherShoulders			"Soft Leather Shoulders"
LeatherShoulders			"Leather Shoulders"
BuckskinShoulders			"Buckskin Shoulders"
GlacialWind				"Glacial Wind"
HardLeatherShoulders			"Hard Leather Shoulders"
StuddedLeatherShoulders			"Studded Leather Shoulders"
Rawhideshoulders			"Rawhide shoulders"
RoughLeatherShoulders			"Rough Leather Shoulders"
TannedLeatherShoulders			"Tanned Leather Shoulders"
CuredLeatherPauldron			"Cured Leather Pauldron"
CrocodileHidePauldron			"Crocodile Hide Pauldron"
ReinforcedLeatherPauldron		"Reinforced Leather Pauldron"
SerpentskinPauldron			"Serpentskin Pauldron"
OgreHidePauldron			"Ogre Hide Pauldron"
GiantHidePauldron			"Giant Hide Pauldron"
BasiliskHidePauldron			"Basilisk Hide Pauldron"
DragonhidePauldron			"Dragonhide Pauldron"
DrelsPauldron				"Drel's Pauldron"
AversionsPauldron			"Aversion's Pauldron"
Stormwatch				"Stormwatch"
Iberian					"Iberian"

RingMailShoulders			"Ring Mail Shoulders"
BronzeScaleShoulders			"Bronze Scale Shoulders"
LightChainShoulders			"Light Chain Shoulders"
GretasShoulders				"Greta's Shoulders"
DesertBloom				"Desert Bloom"
ScaleMailShoulders			"Scale Mail Shoulders"
ChainMailShoulders			"Chain Mail Shoulders"
SplintMailShoulders			"Splint Mail Shoulders"
SteelChainShoulders			"Steel Chain Shoulders"
BrigandineShoulders			"Brigandine Shoulders"
FortifiedChainPauldron			"Fortified Chain Pauldron"
DoubleMailPauldron			"Double Mail Pauldron"
BandedArmorPauldron			"Banded Armor Pauldron"
BoneScalePauldron			"Bone Scale Pauldron"
IvoryScalePauldron			"Ivory Scale Pauldron"
TurtleScalePauldron			"Turtle Scale Pauldron"
ScorpionScalePauldron			"Scorpion Scale Pauldron"
DragonscalePauldron			"Dragonscale Pauldron"
BevansPauldron				"Bevan's Pauldron"
ShankarsPauldron			"Shankar's Pauldron"
BlackguardPauldren			"Blackguard Pauldron"
ThadensDesire				"Thaden's Desire"

LightPlateSpaulder			"Light Plate Spaulder"
MudbeardsSpaulder			"Mudbeard's Spaulder"
CopperPlateSpaulder			"Copper Plate Spaulder"
FieldPlateSpaulder			"Field Plate Spaulder"
BronzePlateSpaulder			"Bronze Plate Spaulder"
PlateArmorShoulders			"Plate Armor Shoulders"
FullPlateShoulders			"Full Plate Shoulders"
SteelPlateShoulders			"Steel Plate Shoulders"
EmbossedPlateShoulders			"Embossed Plate Shoulders"
GothicPlateShoulders			"Gothic Plate Shoulders"
CrusaderPlatePauldron			"Crusader Plate Pauldron"
QuicksilverPauldron			"Quicksilver Pauldron"
MithrilPauldron				"Mithril Pauldron"
AdamantiumPauldron			"Adamantium Pauldron"
SvensPauldron				"Sven's Pauldron"
DraaiensPauldron			"Draaien's Pauldron"
Frostbite				"Frostbite"
Dranar					"Dranar"
Titan					"Titan"

Staff					"Staff"
ShortStaff				"Short Staff"
CedarStaff				"Cedar Staff"
LongStaff				"Long Staff"
Quarterstaff				"Quarterstaff"
Stormbringer				"Stormbringer"
Darkterror				"Darkterror"
BattleStaff				"Battle Staff"
Bo					"Bo"
WarStaff				"War Staff"
MageStaff				"Mage Staff"
AshStaff				"Ash Staff"
MesquiteStaff				"Mesquite Staff"
OakStaff				"Oak Staff"
HickoryStaff				"Hickory Staff"
EbonyStaff				"Ebony Staff"
MahoganyStaff				"Mahogany Staff"
IronwoodStaff				"Ironwood Staff"
Nightmare				"Nightmare"
Midnight				"Midnight"
