
// ##1## - player's name
// ##2## - NPC's name
// ##3## - town name

GenericIntro				"Bonjour, je m'appelle ##2##"
PersonalityReligiousChat6-5		"There is more evil in Valta's smallest toenail than grass in the hills."
PersonalityReligiousChat6-6		"Trust in Din is worth more than any sword."

HateNagaChat6-1				"I hate all of those monsters out there, but especially nagas."	
HateNagaChat6-2				"Nagas are vile creatures. Kill them all, I say."
HateNagaChat6-3				"The naga are foul creatures. Abominations, if there aver were any."
HateNagaChat6-4				"The sound of a naga speaking makes my skin crawl."
HateNagaChat6-5				"The naga hate Din. That is reason enough for destroy every last one of them."
HateNagaChat6-6				"Kill a naga for me!"
HateNagaChat6-7				"I spit on nagas!"	
HateNagaChat6-8				"A good naga is a dead naga."	

HateOrcChat6-1				"I hate orcs more than zombies."	
HateOrcChat6-2				"Orcs have no fear. Take care. They will overwhelm you if they can."
HateOrcChat6-3				"I love when evil Hamlec's destruction turns inward on the orcs themselves."	
HateOrcChat6-4				"Orcs are a scourge in this land."
HateOrcChat6-5				"Orc breath can kill bugs, but bugs are better to endure."	
HateOrcChat6-6				"Orcs are evil killers, a blight on this world."
HateOrcChat6-7				"No good will ever come from orc hands."	
HateOrcChat6-8				"The only good orc is a dead orc."

FearSpiderChat6-1			"Do me a favor. Keep the giant spiders out of town, okay? They scare the piss out of me.  Something about those long spear-like legs..."	
FearSpiderChat6-2			"Spiders are just creepy."
FearSpiderChat6-3			"I can't help but scream when I see a spider."
FearSpiderChat6-4			"Even tiny spiders can bite."
FearSpiderChat6-5			"I think I'd vomit because I could bring myself to get close enough to a spider to kill it."
FearSpiderChat6-6			"Anytime I feel a strand of spider web touching me, I'm hysterical."
FearSpiderChat6-7			"A world without spiders might have more bugs, but... no spiders!  I can dream, right?"
FearSpiderChat6-8			"What's worse than a spider crawling up your leg? Nothing!"

HateDarkElfChat6-1			"Valta feeds on dark elf babies for her power."	
HateDarkElfChat6-2			"Dark elves have a culture of sacrifice."
HateDarkElfChat6-3			"Valta's altar's runs with the blood of slaves."
HateDarkElfChat6-4			"The only thing saving us from dark elf terror is their fear of the sun."
HateDarkElfChat6-5			"When it comes to dark elves, kill first and ask questions later."
HateDarkElfChat6-6			"Les elfes obscurs sont des etres vils."
HateDarkElfChat6-7			"Dark elves are death bringers."	
HateDarkElfChat6-8			"Orcs are nothing compared to the savagery of dark elves."

// Wandering vendors

ZaneIntro				"Hey, do you have a message for me? Sometimes they send new people. No? What am I talking about? Nevermind."
MedeaIntro				"Any news? We don't get much here, except what bubbles up with the vermin below."
KendrichIntro				"Hello. Best get your supplies now, before you die. I've lost many a customer to the demons that plague us."
MarinIntro				"Greetings! The fighting may have scared away customers, but it did the same to my competition. Now if I can just live long enjoy to enjoy my profits."
JewelIntro				"Whatever you want, it'll cost you double."
DelinnIntro				"Through Din's grace, I bless others with the gift on my jewelry's protection. For a price, of course."
MalIntro				"Hello! I've just one word of advice. When running for your life from zombie thugs, remember this - faster would be better."
MorgenIntro				"What? I didn't say anything? I only have shoes. Nothing else. Honest!"
SladeIntro				"Good day to you! If you've the coin, I've the food and drink for ya. None better, not in these parts anyway."
LoryIntro				"How are you? Don't say good, because it makes people suspicion. Dark times breed paranoia."
NeriaIntro				"Cheerio! You come in the nick of time for adventure. Be sure to stock up on my finest potions before delving for evil."
JacindaIntro				"Good day! Everyone needs bags, there no doubt about it. Want some bags?"
VelvetIntro				"Pleased to meet you. I'm afraid there isn't much left in this town, except the finest most durable capes to purchase!"
WadeIntro				"Hi. I do sell gloves, but only on days I've seen three butterflies. If the cloud blocks the sun as a robin flies by, I close up shop fast. When you're aware of the signs you survive. I wish there was still an oracle in town."
KoraIntro				"Good tidings... or fair tidings anyway. I'm not planning on staying for long, but while I'm here, I've got the rings you need."
JayneIntro				"You there, this here weapon I carry is called Vera. She ain't for sell. If you're looking for some for steel, I've a nice selection."
LuciaIntro				"Welcome friend. We don't see many new faces these days. If you're in the market for weapons, I'm your game."
TanyaIntro				"For the love of Din, don't come close to me after stepping in horse droppings!"
TitusIntro				"'Jour ! Un rocher dans la main en vaut deux dans les buissons, dit-on. Et moi je dis : trouvez-vous une bonne arme a deux mains et vous n'aurez pas besoin de rocher."
KeelyIntro				"Bonjour. Everyone is pulled taught like a bow string because of the danger, but soon as the arrow is released, we'll be fine. Unless it doesn't fly true, and then we'll just be dead."
ThornIntro				"Enfin ! I new person. I can't trust anyone in town. They brought this evil to us to run off folk and take their homes. Well, I'm not running. Wait... You haven't spoken to anyone else yet, right?"
ZoeIntro				"Hi there! I know everything there is about swords, and you need a new one."
TalbertIntro				"Good day! I used to teach weaponry until my daughter died. Since then I wander from town to town, selling the finest swords."
KylerIntro				"Time is always right for an axe, my friend."
FitzIntro				"Greetings! By the gods, we will win this town's freedom. Glad you can join us."
GarekIntro				"Any news? Seems like we're in constant peril from naga and orcs. Kill them all, I say!"
AlcottIntro				"Hi. When I get scared, I like to smash things."
MonroeIntro				"Hey. Here for the action? I used to adventure with my brother until a giant spider got him."
ErinIntro				"Be careful! If you see four ravens flying together, it's a sign that dark elves are nearby."
YuriIntro				"Hello. You seem like a smart person. Need a knife? You can never have too many."
AdaliaIntro				"Hey. You come for the fun? The best blades are the ones covered to the hilt in dark elf innards."
BlissIntro				"Hello, friend. Lovely day for monster rousting, isn't it?"
NyeIntro				"Humph... You're not a runt it you like 'em blunt."
CarvisIntro				"Run along, little flee. You can't afford my wares."
KalindaIntro				"Hi! I'm so glad to see another friendly face about. If you need to know something, come ask me. I know everything that goes on around here."
TorIntro				"Egad! You're covered in orc stink. You definitely need new armor, and fast!"
ParcIntro				"How are you? The best offense is a good defense."
LettaIntro				"Hi! May the stars light your way."
VinIntro				"So you are the one Din sent us. I hope you fight better than you look."
JarvinIntro				"Come here! Leather is strong enough to protect, yet light enough to move. You'll need both to survive."
IvanIntro				"Ivan the Terrible Orc Slayer, pleased to meet you. I have the best leather work around."
IvyIntro				"Oh, hi. Whatever. Smithing is hard work and I have nothing left for niceties."
TiaIntro				"What? You what to see my elite armor? Hmmm... Well, do you know the secret password?"
DagIntro				"Greetings! I've prayed to Din every moment to send us salvation. Maybe you're the one."
KalinIntro				"Morning! Enjoy the killing down below, and remember, don't listen to the voices. The voices are not your friend."
CulverIntro				"Blah, blah, blah, blah. Is that all you ever say?"
NoreIntro				"Hippo. Yes, you can fight one and win if you wear my armor, but I don't suggest it. I like hippos."
DevlinIntro				"Don't think you're special. Times are hard for everybody."
GaliaIntro				"Eh bien, qu'avons-nous la ? Un nouveau venu ? Bien. Content de vous rencontrer !"
DarionIntro				"Oyez, oyez, oyez. Approchez-vous et tentez votre chance."
FalkerIntro				"Falker est mon nom, et la chance mon jeu. Envie de tenter votre chance ?"

// 0.904 changes

GenericTownSavedChat1			"Merci d'avoir sauve ##1## !"
GenericTownSavedChat2			"##1## aurait ete detruit sans vous !"
GenericTownSavedChat3			"Din soit loue de vous avoir envoye sauver ##1##."

